year_a,year_b,shared_identifiers,pct_ids_a_shared,comparable_ids,agreeing_birth_and_sex,pct_agreement
2019,2020,78320,8.938771923216953,77053,75235,97.64058505184742
2019,2021,0,0.0,0,0,
2019,2022,0,0.0,0,0,
2019,2023,0,0.0,0,0,
2019,2024,0,0.0,0,0,
2020,2021,0,0.0,0,0,
2020,2022,0,0.0,0,0,
2020,2023,0,0.0,0,0,
2020,2024,0,0.0,0,0,
2021,2022,91939,13.923843592069653,90816,89249,98.27453312191685
2021,2023,72764,11.019856156074749,71984,70498,97.93565236719272
2021,2024,65731,9.954732628703058,65076,63561,97.67195279365664
2022,2023,112475,15.06726181067026,111194,109295,98.29217403816753
2022,2024,85778,11.49090538871459,84887,83187,97.99733763709402
2023,2024,127250,15.519901453199417,125770,123883,98.49964220402322
