era,definition,window,position,code,patients
2019-2020,autismo_F840,all,any,G409,37
2019-2020,autismo_F840,730d,any,G409,37
2019-2020,autismo_F840,365d,any,G409,32
2019-2020,autismo_F840,all,any,E669,22
2019-2020,autismo_F840,730d,any,E669,22
2019-2020,autismo_F840,all,any,J459,21
2019-2020,autismo_F840,730d,any,J459,21
2019-2020,autismo_F840,730d,any,Z922,21
2019-2020,autismo_F840,all,any,Z922,21
2019-2020,autismo_F840,365d,any,E669,20
2019-2020,autismo_F840,all,any,F841,19
2019-2020,autismo_F840,all,any,F845,19
2019-2020,autismo_F840,730d,any,F845,19
2019-2020,autismo_F840,730d,any,F841,19
2019-2020,autismo_F840,365d,any,J459,18
2019-2020,autismo_F840,365d,any,F841,18
2019-2020,autismo_F840,730d,any,R620,17
2019-2020,autismo_F840,365d,any,Z922,17
2019-2020,autismo_F840,all,any,R620,17
2019-2020,autismo_F840,all,any,E039,16
2019-2020,autismo_F840,730d,any,E039,16
2019-2020,autismo_F840,730d,any,Z924,16
2019-2020,autismo_F840,all,principal,G409,16
2019-2020,autismo_F840,730d,principal,G409,16
2019-2020,autismo_F840,all,any,Z924,16
2019-2020,autismo_F840,365d,any,E039,15
2019-2020,autismo_F840,730d,any,K590,15
2019-2020,autismo_F840,all,any,K590,15
2019-2020,autismo_F840,365d,any,F845,14
2019-2020,autismo_F840,365d,any,R620,14
2019-2020,autismo_F840,365d,principal,G409,13
2019-2020,autismo_F840,730d,any,F900,12
2019-2020,autismo_F840,all,any,F900,12
2019-2020,autismo_F840,730d,any,R451,11
2019-2020,autismo_F840,730d,any,F809,11
2019-2020,autismo_F840,all,any,F809,11
2019-2020,autismo_F840,365d,any,F809,11
2019-2020,autismo_F840,all,any,R451,11
2019-2020,autismo_F840,all,any,R509,11
2019-2020,autismo_F840,365d,any,R509,11
2019-2020,autismo_F840,365d,any,R451,11
2019-2020,autismo_F840,730d,any,R509,11
2019-2020,autismo_F840,365d,any,K590,11
2019-2020,autismo_F840,730d,any,R458,10
2019-2020,autismo_F840,all,any,R458,10
2019-2020,autismo_F840,365d,any,Z924,10
2019-2020,autismo_F840,365d,any,R458,9
2019-2020,autismo_F840,all,any,C910,9
2019-2020,autismo_F840,365d,any,F900,9
2019-2020,autismo_F840,365d,any,C910,9
2019-2020,autismo_F840,730d,any,C910,9
2019-2020,autismo_F840,730d,any,Z518,8
2019-2020,autismo_F840,365d,any,F432,8
2019-2020,autismo_F840,730d,any,A099,8
2019-2020,autismo_F840,730d,any,F799,8
2019-2020,autismo_F840,730d,any,F432,8
2019-2020,autismo_F840,730d,any,F329,8
2019-2020,autismo_F840,730d,any,K029,8
2019-2020,autismo_F840,730d,any,Z038,8
2019-2020,autismo_F840,all,any,K029,8
2019-2020,autismo_F840,365d,principal,C910,8
2019-2020,autismo_F840,all,any,N390,8
2019-2020,autismo_F840,all,any,F432,8
2019-2020,autismo_F840,730d,principal,C910,8
2019-2020,autismo_F840,365d,any,Z038,8
2019-2020,autismo_F840,all,any,Z038,8
2019-2020,autismo_F840,all,any,Z518,8
2019-2020,autismo_F840,730d,principal,F841,8
2019-2020,autismo_F840,all,principal,F841,8
2019-2020,autismo_F840,365d,any,A099,8
2019-2020,autismo_F840,all,principal,C910,8
2019-2020,autismo_F840,all,any,F799,8
2019-2020,autismo_F840,all,principal,Z518,8
2019-2020,autismo_F840,730d,any,N390,8
2019-2020,autismo_F840,730d,principal,Z518,8
2019-2020,autismo_F840,all,any,F329,8
2019-2020,autismo_F840,all,any,A099,8
2019-2020,autismo_F840,all,any,G403,7
