era,definition,window,position,group,patients
2019-2020,autismo_F840,all,any,Epilepsia,50
2019-2020,autismo_F840,730d,any,Epilepsia,50
2019-2020,autismo_F840,365d,any,Epilepsia,45
2019-2020,autismo_F840,730d,any,Discapacidad_intelectual,29
2019-2020,autismo_F840,all,any,Discapacidad_intelectual,29
2019-2020,autismo_F840,all,any,Lenguaje_aprendizaje_desarrollo,26
2019-2020,autismo_F840,all,any,Animo_ansiedad_estres,26
2019-2020,autismo_F840,730d,any,Lenguaje_aprendizaje_desarrollo,26
2019-2020,autismo_F840,730d,any,Animo_ansiedad_estres,26
2019-2020,autismo_F840,365d,any,Animo_ansiedad_estres,24
2019-2020,autismo_F840,365d,any,Discapacidad_intelectual,24
2019-2020,autismo_F840,all,principal,Epilepsia,23
2019-2020,autismo_F840,365d,any,Lenguaje_aprendizaje_desarrollo,23
2019-2020,autismo_F840,730d,principal,Epilepsia,23
2019-2020,autismo_F840,365d,principal,Epilepsia,21
2019-2020,autismo_F840,all,any,Signos_desarrollo_habla,18
2019-2020,autismo_F840,730d,any,Signos_desarrollo_habla,18
2019-2020,autismo_F840,730d,any,Conducta_emociones_infancia,15
2019-2020,autismo_F840,365d,any,Signos_desarrollo_habla,15
2019-2020,autismo_F840,all,any,Conducta_emociones_infancia,15
2019-2020,autismo_F840,730d,any,Hiperactividad_atencion,14
2019-2020,autismo_F840,all,principal,Animo_ansiedad_estres,14
2019-2020,autismo_F840,730d,principal,Animo_ansiedad_estres,14
2019-2020,autismo_F840,all,any,Hiperactividad_atencion,14
2019-2020,autismo_F840,365d,any,Conducta_emociones_infancia,13
2019-2020,autismo_F840,365d,principal,Animo_ansiedad_estres,13
2019-2020,autismo_F840,365d,any,Hiperactividad_atencion,10
2019-2020,autismo_F840,730d,any,Audicion,9
2019-2020,autismo_F840,all,any,Audicion,9
2019-2020,autismo_F840,365d,any,Psicosis,8
2019-2020,autismo_F840,all,any,Psicosis,8
2019-2020,autismo_F840,365d,any,Audicion,8
2019-2020,autismo_F840,730d,any,Psicosis,8
2019-2020,autismo_F840,730d,principal,Conducta_emociones_infancia,7
2019-2020,autismo_F840,all,principal,Conducta_emociones_infancia,7
2019-2020,autismo_F840,365d,principal,Conducta_emociones_infancia,6
2019-2020,autismo_F840,730d,principal,Psicosis,6
2019-2020,autismo_F840,365d,principal,Psicosis,6
2019-2020,autismo_F840,all,principal,Psicosis,6
2019-2020,autismo_F840,730d,principal,Discapacidad_intelectual,3
2019-2020,autismo_F840,all,principal,Discapacidad_intelectual,3
2019-2020,autismo_F840,365d,principal,Discapacidad_intelectual,2
2019-2020,autismo_F840,730d,principal,Signos_desarrollo_habla,1
2019-2020,autismo_F840,all,principal,Signos_desarrollo_habla,1
2019-2020,TEA_operacional,730d,any,Epilepsia,125
2019-2020,TEA_operacional,all,any,Epilepsia,125
2019-2020,TEA_operacional,365d,any,Epilepsia,120
2019-2020,TEA_operacional,730d,any,Lenguaje_aprendizaje_desarrollo,62
2019-2020,TEA_operacional,all,any,Lenguaje_aprendizaje_desarrollo,62
2019-2020,TEA_operacional,all,principal,Epilepsia,59
2019-2020,TEA_operacional,730d,principal,Epilepsia,59
2019-2020,TEA_operacional,365d,any,Lenguaje_aprendizaje_desarrollo,58
2019-2020,TEA_operacional,365d,principal,Epilepsia,57
2019-2020,TEA_operacional,730d,any,Signos_desarrollo_habla,54
2019-2020,TEA_operacional,all,any,Signos_desarrollo_habla,54
2019-2020,TEA_operacional,365d,any,Signos_desarrollo_habla,50
2019-2020,TEA_operacional,all,any,Discapacidad_intelectual,41
2019-2020,TEA_operacional,730d,any,Discapacidad_intelectual,41
2019-2020,TEA_operacional,all,any,Animo_ansiedad_estres,39
2019-2020,TEA_operacional,730d,any,Animo_ansiedad_estres,39
2019-2020,TEA_operacional,365d,any,Discapacidad_intelectual,37
2019-2020,TEA_operacional,365d,any,Animo_ansiedad_estres,35
2019-2020,TEA_operacional,all,any,Audicion,27
2019-2020,TEA_operacional,730d,any,Audicion,27
2019-2020,TEA_operacional,365d,any,Audicion,25
2019-2020,TEA_operacional,all,principal,Animo_ansiedad_estres,20
2019-2020,TEA_operacional,730d,principal,Animo_ansiedad_estres,20
2019-2020,TEA_operacional,365d,principal,Animo_ansiedad_estres,18
2019-2020,TEA_operacional,all,any,Hiperactividad_atencion,15
2019-2020,TEA_operacional,all,any,Conducta_emociones_infancia,15
2019-2020,TEA_operacional,730d,any,Conducta_emociones_infancia,15
2019-2020,TEA_operacional,730d,any,Hiperactividad_atencion,15
2019-2020,TEA_operacional,365d,any,Conducta_emociones_infancia,13
2019-2020,TEA_operacional,365d,any,Hiperactividad_atencion,12
2019-2020,TEA_operacional,365d,any,Psicosis,9
2019-2020,TEA_operacional,730d,any,Psicosis,9
2019-2020,TEA_operacional,all,any,Psicosis,9
2019-2020,TEA_operacional,730d,principal,Conducta_emociones_infancia,7
2019-2020,TEA_operacional,all,principal,Conducta_emociones_infancia,7
2019-2020,TEA_operacional,730d,principal,Psicosis,6
2019-2020,TEA_operacional,all,principal,Psicosis,6
2019-2020,TEA_operacional,365d,principal,Conducta_emociones_infancia,6
2019-2020,TEA_operacional,365d,principal,Psicosis,6
2019-2020,TEA_operacional,all,principal,Discapacidad_intelectual,2
2019-2020,TEA_operacional,730d,principal,Discapacidad_intelectual,2
2019-2020,TEA_operacional,all,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,TEA_operacional,365d,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,TEA_operacional,730d,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,TEA_operacional,365d,principal,Discapacidad_intelectual,1
2019-2020,TEA_operacional,730d,principal,Signos_desarrollo_habla,1
2019-2020,TEA_operacional,all,principal,Signos_desarrollo_habla,1
2019-2020,F84_historico,730d,any,Epilepsia,127
2019-2020,F84_historico,all,any,Epilepsia,127
2019-2020,F84_historico,365d,any,Epilepsia,121
2019-2020,F84_historico,730d,any,Lenguaje_aprendizaje_desarrollo,62
2019-2020,F84_historico,all,any,Lenguaje_aprendizaje_desarrollo,62
2019-2020,F84_historico,all,principal,Epilepsia,61
2019-2020,F84_historico,730d,principal,Epilepsia,61
2019-2020,F84_historico,365d,any,Lenguaje_aprendizaje_desarrollo,58
2019-2020,F84_historico,365d,principal,Epilepsia,58
2019-2020,F84_historico,730d,any,Signos_desarrollo_habla,54
2019-2020,F84_historico,all,any,Signos_desarrollo_habla,54
2019-2020,F84_historico,365d,any,Signos_desarrollo_habla,50
2019-2020,F84_historico,all,any,Discapacidad_intelectual,42
2019-2020,F84_historico,730d,any,Discapacidad_intelectual,42
2019-2020,F84_historico,all,any,Animo_ansiedad_estres,39
2019-2020,F84_historico,730d,any,Animo_ansiedad_estres,39
2019-2020,F84_historico,365d,any,Discapacidad_intelectual,37
2019-2020,F84_historico,365d,any,Animo_ansiedad_estres,35
2019-2020,F84_historico,all,any,Audicion,26
2019-2020,F84_historico,730d,any,Audicion,26
2019-2020,F84_historico,365d,any,Audicion,24
2019-2020,F84_historico,all,principal,Animo_ansiedad_estres,20
2019-2020,F84_historico,730d,principal,Animo_ansiedad_estres,20
2019-2020,F84_historico,365d,principal,Animo_ansiedad_estres,18
2019-2020,F84_historico,all,any,Hiperactividad_atencion,15
2019-2020,F84_historico,all,any,Conducta_emociones_infancia,15
2019-2020,F84_historico,730d,any,Conducta_emociones_infancia,15
2019-2020,F84_historico,730d,any,Hiperactividad_atencion,15
2019-2020,F84_historico,365d,any,Conducta_emociones_infancia,13
2019-2020,F84_historico,365d,any,Hiperactividad_atencion,12
2019-2020,F84_historico,365d,any,Psicosis,9
2019-2020,F84_historico,730d,any,Psicosis,9
2019-2020,F84_historico,all,any,Psicosis,9
2019-2020,F84_historico,730d,principal,Conducta_emociones_infancia,7
2019-2020,F84_historico,all,principal,Conducta_emociones_infancia,7
2019-2020,F84_historico,730d,principal,Psicosis,6
2019-2020,F84_historico,all,principal,Psicosis,6
2019-2020,F84_historico,365d,principal,Conducta_emociones_infancia,6
2019-2020,F84_historico,365d,principal,Psicosis,6
2019-2020,F84_historico,all,principal,Discapacidad_intelectual,2
2019-2020,F84_historico,730d,principal,Discapacidad_intelectual,2
2019-2020,F84_historico,all,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,F84_historico,365d,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,F84_historico,730d,principal,Lenguaje_aprendizaje_desarrollo,1
2019-2020,F84_historico,365d,principal,Discapacidad_intelectual,1
2019-2020,F84_historico,730d,principal,Signos_desarrollo_habla,1
2019-2020,F84_historico,all,principal,Signos_desarrollo_habla,1
2021-2024,autismo_F840,all,any,Animo_ansiedad_estres,456
2021-2024,autismo_F840,730d,any,Animo_ansiedad_estres,418
2021-2024,autismo_F840,all,any,Epilepsia,344
2021-2024,autismo_F840,365d,any,Animo_ansiedad_estres,341
2021-2024,autismo_F840,730d,any,Epilepsia,288
2021-2024,autismo_F840,all,principal,Animo_ansiedad_estres,214
2021-2024,autismo_F840,365d,any,Epilepsia,209
2021-2024,autismo_F840,730d,principal,Animo_ansiedad_estres,198
2021-2024,autismo_F840,all,any,Lenguaje_aprendizaje_desarrollo,189
2021-2024,autismo_F840,all,any,Signos_desarrollo_habla,173
2021-2024,autismo_F840,365d,principal,Animo_ansiedad_estres,169
2021-2024,autismo_F840,all,principal,Epilepsia,168
2021-2024,autismo_F840,730d,any,Lenguaje_aprendizaje_desarrollo,155
2021-2024,autismo_F840,all,any,Conducta_emociones_infancia,155
2021-2024,autismo_F840,730d,any,Signos_desarrollo_habla,140
2021-2024,autismo_F840,730d,principal,Epilepsia,136
2021-2024,autismo_F840,730d,any,Conducta_emociones_infancia,135
2021-2024,autismo_F840,all,any,Discapacidad_intelectual,134
2021-2024,autismo_F840,730d,any,Discapacidad_intelectual,116
