era,definition,index_role,patients,later_principal,eligible_followup_365d,later_principal_365d,days_to_principal_median
2019-2020,autismo_F840,principal,173,24,104,15,81.0
2019-2020,autismo_F840,solo_secundario,1783,15,1063,8,52.0
2019-2020,TEA_operacional,principal,239,36,155,25,70.0
2019-2020,TEA_operacional,principal_y_secundario,6,2,2,2,38.5
2019-2020,TEA_operacional,solo_secundario,2784,22,1743,11,107.0
2019-2020,F84_historico,principal,249,37,165,26,68.0
2019-2020,F84_historico,principal_y_secundario,9,3,3,3,74.0
2019-2020,F84_historico,solo_secundario,2837,26,1778,14,123.5
2021-2024,autismo_F840,principal,526,75,379,48,77.0
2021-2024,autismo_F840,solo_secundario,12499,102,7519,56,140.0
2021-2024,TEA_operacional,mixto_mismo_dia,1,0,0,0,
2021-2024,TEA_operacional,principal,678,118,486,75,86.5
2021-2024,TEA_operacional,principal_y_secundario,15,0,9,0,
2021-2024,TEA_operacional,solo_secundario,14799,137,8978,67,150.0
2021-2024,F84_historico,mixto_mismo_dia,1,0,0,0,
2021-2024,F84_historico,principal,690,121,493,75,86.0
2021-2024,F84_historico,principal_y_secundario,16,0,10,0,
2021-2024,F84_historico,solo_secundario,14921,150,9070,75,161.5
