definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
autismo_F840,records,2019,HOMBRE,0-4,612613.0,253.0,41.29850329653468,36.36595213217949,46.71346983177107
autismo_F840,records,2019,HOMBRE,10-14,629243.0,239.0,37.98214680179199,33.31903154082837,43.11520500718943
autismo_F840,records,2019,HOMBRE,15-19,647322.0,115.0,17.765501558729657,14.66724354510558,21.32479409303879
autismo_F840,records,2019,HOMBRE,20-24,735379.0,26.0,3.5355918512766884,2.309565981024253,5.180461242859124
autismo_F840,records,2019,HOMBRE,25-29,827193.0,25.0,3.0222692890292833,1.9558533314268045,4.461465667326775
autismo_F840,records,2019,HOMBRE,30-34,769391.0,15.0,1.9495938995907152,1.0911729059455224,3.2155586524258593
autismo_F840,records,2019,HOMBRE,35-39,705386.0,8.0,1.1341308163190083,0.4896371882555794,2.2346898322611044
autismo_F840,records,2019,HOMBRE,40-44,665145.0,4.0,0.6013726330349022,0.1638538023478076,1.539752787046989
autismo_F840,records,2019,HOMBRE,45-49,616547.0,2.0,0.3243872729897315,0.03928480367984354,1.1717983653677595
autismo_F840,records,2019,HOMBRE,5-9,649322.0,404.0,62.21874509103342,56.29883892287182,68.59184785778953
autismo_F840,records,2019,HOMBRE,50-54,597164.0,1.0,0.16745818569103296,0.0042396741907231306,0.9330172935640625
autismo_F840,records,2019,HOMBRE,55-59,540699.0,2.0,0.3698915662873429,0.044795584704977257,1.336175518675633
autismo_F840,records,2019,HOMBRE,60-64,458457.0,1.0,0.2181229646400862,0.005522395335721753,1.2153033743489352
autismo_F840,records,2019,HOMBRE,65-69,361643.0,0.0,0.0,0.0,1.0200334180708421
autismo_F840,records,2019,HOMBRE,70-74,251433.0,0.0,0.0,0.0,1.4671421229965578
autismo_F840,records,2019,HOMBRE,75-79,168861.0,0.0,0.0,0.0,2.184565680716054
autismo_F840,records,2019,HOMBRE,80+,188341.0,0.0,0.0,0.0,1.9586173239570435
autismo_F840,records,2019,MUJER,0-4,589563.0,63.0,10.685880898224617,8.211324285188732,13.671883630229592
autismo_F840,records,2019,MUJER,10-14,607281.0,96.0,15.808167882742914,12.804666738296515,19.304478651452705
autismo_F840,records,2019,MUJER,15-19,625645.0,28.0,4.475381406388607,2.9738584430240045,6.4681721972153845
autismo_F840,records,2019,MUJER,20-24,711606.0,10.0,1.405272018504622,0.6738825552528271,2.5843452756184995
autismo_F840,records,2019,MUJER,25-29,800590.0,3.0,0.3747236413145305,0.07727702355707683,1.0951014963642218
autismo_F840,records,2019,MUJER,30-34,745995.0,5.0,0.670245779127206,0.21762698008946715,1.564130065124119
autismo_F840,records,2019,MUJER,35-39,691342.0,1.0,0.1446462098353637,0.003662124966267039,0.8059170990535651
autismo_F840,records,2019,MUJER,40-44,663414.0,1.0,0.1507354382029924,0.003816290880851154,0.8398441080439814
autismo_F840,records,2019,MUJER,45-49,627382.0,0.0,0.0,0.0,0.5879798040291139
autismo_F840,records,2019,MUJER,5-9,626150.0,92.0,14.692964944502116,11.844603492176379,18.01961718464842
autismo_F840,records,2019,MUJER,50-54,620912.0,1.0,0.16105341819774782,0.0040775195171441165,0.8973322130896001
