year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2019,F84_historico,records,cualquiera,HOMBRE,1788.0,9424139.0,18.972555476951264,18.10324100659547,19.872826657391556,23.801842503058097,22.706762224537087,24.93716978493559,0.3194952706864324,0
2019,F84_historico,records,cualquiera,MUJER,596.0,9683077.0,6.155068270137685,5.670772434317385,6.66966654093075,8.262873928674082,7.609547561214902,8.958397263722677,0.11570373333115708,0
2019,F84_historico,records,cualquiera,TOTAL,2384.0,19107216.0,12.476961583519023,11.981091376485086,12.98808423863618,16.169611807903006,15.524142128143945,16.83557193304074,0.11065376079478768,0
2020,F84_historico,records,cualquiera,HOMBRE,1208.0,9599101.0,12.584511820429851,11.88476877290281,13.314699231156021,15.968361120559873,15.07640962150574,16.90064054290511,0.21304357185684247,0
2020,F84_historico,records,cualquiera,MUJER,425.0,9859209.0,4.310690644655165,3.910553446610216,4.740662928661673,5.812478062015891,5.269648984515749,6.397502228392344,0.08049070330579111,0
2020,F84_historico,records,cualquiera,TOTAL,1633.0,19458310.0,8.392301284130019,7.990151497617438,8.809449653840694,10.97880705836976,10.45003476524967,11.528085507004425,0.07457484346846092,0
2021,F84_historico,records,cualquiera,HOMBRE,1808.0,9708512.0,18.62283324159253,17.77422067612679,19.50149444607119,23.797181979420056,22.706913471346066,24.92778188770264,0.316662217463991,0
2021,F84_historico,records,cualquiera,MUJER,590.0,9969851.0,5.917841700944177,5.449898447133105,6.415217783941904,8.058347627179943,7.417716958889458,8.741141146035455,0.11127615580951873,0
2021,F84_historico,records,cualquiera,TOTAL,2398.0,19678363.0,12.185972989724807,11.703069093059188,12.683686349309337,16.061150825968333,15.421068093176787,16.72174755867548,0.10881081699404807,0
2022,F84_historico,records,cualquiera,HOMBRE,2887.0,9782978.0,29.510441503599417,28.443689396672564,30.606964672217227,38.61412543507623,37.21183661534806,40.057050578278265,0.5213022381299238,0
2022,F84_historico,records,cualquiera,MUJER,1024.0,10045585.0,10.193532780818638,9.578671741514482,10.837509023235853,14.087872099538279,13.232916180199442,14.985070187860023,0.1962305430699081,0
2022,F84_historico,records,cualquiera,TOTAL,3911.0,19828563.0,19.72407178472792,19.110702475345864,20.352116593258714,26.57164254189606,25.741129445233934,27.422810908979883,0.18238498728355365,0
