unit,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
records,2019.0,1,HOMBRE,58.0,186270.0,31.137595962849627,23.644082074542197,40.25256334605388,34.73474398278152,26.35974854005344,45.085392341043566,20.886488637086412,0,2019,Tarapacá
records,2019.0,1,MUJER,10.0,182636.0,5.4753717777437085,2.6256535930114726,10.069403645512264,6.239882964442219,2.9879024560856804,11.575674258479866,3.9066749942328203,0,2019,Tarapacá
records,2019.0,1,TOTAL,68.0,368906.0,18.43287992063019,14.31385251327505,23.368067517478583,20.781128618549346,16.128668391910356,26.38620592475183,6.37626310829343,0,2019,Tarapacá
records,2019.0,2,HOMBRE,78.0,336667.0,23.168293892778323,18.31357489894178,28.915079307110524,27.075846489427864,21.38428634356358,33.95097787256984,9.462478124139528,0,2019,Antofagasta
records,2019.0,2,MUJER,32.0,331896.0,9.641574469110806,6.59482979948073,13.611026369531562,11.662248356758218,7.969376966690304,16.499643263000692,4.269714124829341,0,2019,Antofagasta
records,2019.0,2,TOTAL,110.0,668563.0,16.453198875797792,13.522528481593463,19.830554043048203,19.5433478139449,16.052033414280366,23.578863367908824,3.4937031506127236,0,2019,Antofagasta
records,2019.0,3,HOMBRE,29.0,157283.0,18.438102019925868,12.348286297659593,26.48019012772302,20.018250006242514,13.392765107874043,28.914040226098532,13.88267466368436,0,2019,Atacama
records,2019.0,3,MUJER,8.0,154024.0,5.1939957409234925,2.242398701987029,10.234242209131896,5.923635182737001,2.546080214621817,11.873220552200157,4.4245244541009345,0,2019,Atacama
records,2019.0,3,TOTAL,37.0,311307.0,11.885373602264004,8.368399864797782,16.382421899260482,13.095220616369678,9.210057786672817,18.132137180296862,4.661579821681254,0,2019,Atacama
records,2019.0,4,HOMBRE,84.0,402663.0,20.861117112821393,16.639644004983325,25.827482477875467,24.8204491435965,19.77783270187118,30.794755544450467,7.395900721629992,0,2019,Coquimbo
records,2019.0,4,MUJER,21.0,419063.0,5.011179703290436,3.1019992182741465,7.660120491416184,6.559322841263398,4.055848479116525,10.075930775589253,2.057207189326918,0,2019,Coquimbo
records,2019.0,4,TOTAL,105.0,821726.0,12.777981955055578,10.451123284437655,15.468526232446806,15.813589854102341,12.921458143077961,19.178611864101544,2.4034478643004777,0,2019,Coquimbo
records,2019.0,5,HOMBRE,164.0,946578.0,17.325566408684757,14.775365846894854,20.189520739618498,22.398038294498576,19.08018043578903,26.143244906303288,3.0997781132331848,0,2019,Valparaíso
records,2019.0,5,MUJER,62.0,988877.0,6.269738299100899,4.806972402651956,8.037521539660267,8.94139394574139,6.846209745965699,11.492926862359644,1.3016067220662206,0,2019,Valparaíso
records,2019.0,5,TOTAL,226.0,1935455.0,11.67684084620929,10.20398615531341,13.302571436734402,15.796462615991011,13.791671207799778,18.018756093189218,1.118278002032229,0,2019,Valparaíso
records,2019.0,6,HOMBRE,63.0,489662.0,12.866017783695693,9.886601328158452,16.461225761217023,16.125029129167412,12.377800306645787,20.68684246858641,4.158408964641493,0,2019,O'Higgins
records,2019.0,6,MUJER,24.0,489206.0,4.90590875827361,3.1433083107497586,7.299603355999969,6.666766748058531,4.267783939178819,9.955492211761245,1.8584619067088288,0,2019,O'Higgins
records,2019.0,6,TOTAL,87.0,978868.0,8.887817356374915,7.118777356683404,10.963089873458303,11.487376431663392,9.193375577703026,14.196479880097574,1.5274079515146632,0,2019,O'Higgins
records,2019.0,7,HOMBRE,61.0,550096.0,11.088973560978447,8.482186120419442,14.244250442620212,13.978615723196175,10.684895696638234,17.988912623257157,3.219321415663674,0,2019,Maule
records,2019.0,7,MUJER,27.0,568851.0,4.746409868313495,3.1279140111847874,6.905777162237938,6.02921606218906,3.9454381790169246,8.859372889364657,1.387688914839966,0,2019,Maule
records,2019.0,7,TOTAL,88.0,1118947.0,7.864536926235112,6.307588587403766,9.689329453714455,10.07059314754755,8.064966201499775,12.43591176968064,1.1671491510783256,0,2019,Maule
records,2019.0,8,HOMBRE,286.0,806588.0,35.45800334247472,31.467251821855598,39.814709299904145,44.61934574835048,39.58034809866649,50.14192135776425,7.010246935389925,0,2019,Biobío
records,2019.0,8,MUJER,80.0,848156.0,9.432227090299426,7.479169467761868,11.739223087196043,12.926617001237101,10.233517278261271,16.133443005858354,2.116171950787451,0,2019,Biobío
records,2019.0,8,TOTAL,366.0,1654744.0,22.118224933887053,19.910006109411793,24.504425105769993,29.051893882805032,26.13928949189827,32.210265527090044,2.3259313724504,0,2019,Biobío
records,2019.0,9,HOMBRE,86.0,492834.0,17.450094758072698,13.95782337342188,21.550725068064942,20.859343816872187,16.673824600674642,25.812243094606167,5.087656581725654,0,2019,La Araucanía
records,2019.0,9,MUJER,21.0,515131.0,4.076632934146848,2.5235000386457402,6.231566482107154,5.276071568598065,3.2628804198450774,8.117319292628556,1.3302397608734016,0,2019,La Araucanía
records,2019.0,9,TOTAL,107.0,1007965.0,10.615447957022317,8.699615780015753,12.827682239056351,13.15140455566876,10.770780190870061,15.92018043672191,1.6266669998521686,0,2019,La Araucanía
records,2019.0,10,HOMBRE,100.0,440258.0,22.71395409055599,18.480979618978676,27.626254103826934,28.603617055211707,23.24928904973762,34.861480497808294,8.258837730160009,0,2019,Los Lagos
records,2019.0,10,MUJER,40.0,444206.0,9.004831091880794,6.433183352271011,12.262024142849052,11.928876390836859,8.507356016111403,16.31258937536368,3.5914289675472917,0,2019,Los Lagos
records,2019.0,10,TOTAL,140.0,884464.0,15.828795745219704,13.315473691778331,18.67859973959042,20.393745977283164,17.14033063197849,24.104933501687984,3.0001175303844585,0,2019,Los Lagos
records,2019.0,11,HOMBRE,15.0,54038.0,27.758244198526963,15.536078560981744,45.78300246398061,34.949164875665346,19.5043719789869,58.39323827804338,82.1376719522904,0,2019,Aysén
records,2019.0,11,MUJER,0.0,52642.0,0.0,0.0,7.007483481087222,0.0,0.0,11.002533546223088,0.0,0,2019,Aysén
records,2019.0,11,TOTAL,15.0,106680.0,14.0607424071991,7.86969078813584,23.19105630997923,18.080362925572484,10.089637224618663,30.22570029278077,21.986852765997586,0,2019,Aysén
records,2019.0,12,HOMBRE,54.0,89455.0,60.365546923033925,45.34845673528003,78.7639443225205,79.1234453511224,59.3433691988976,103.70559144838732,117.16776879775378,0,2019,Magallanes
records,2019.0,12,MUJER,8.0,86529.0,9.24545528088849,3.991531367227752,18.217232627435095,12.761193585869728,5.455876497509642,25.588376951378134,20.747859833490068,0,2019,Magallanes
records,2019.0,12,TOTAL,62.0,175984.0,35.230475497772524,27.011003549284357,45.16387960027403,47.171418017704376,36.11599159794266,60.685267156464654,36.24082573286976,0,2019,Magallanes
records,2019.0,13,HOMBRE,522.0,3903339.0,13.373165897197246,12.250399544130447,14.571173584615012,17.213372499611992,15.758855935399431,18.768221407565317,0.5751518374336978,0,2019,Metropolitana
records,2019.0,13,MUJER,172.0,4011860.0,4.287288190515123,3.670496133273742,4.978065060862281,5.930767634484319,5.073180327405286,6.893595534391674,0.2066795172733022,0,2019,Metropolitana
records,2019.0,13,TOTAL,694.0,7915199.0,8.76794127349167,8.127660782107789,9.445255585236229,11.663239110007517,10.806371379945674,12.570993744142163,0.1984377983749428,0,2019,Metropolitana
records,2019.0,14,HOMBRE,43.0,197926.0,21.725291270474823,15.722701015514478,29.26382476803635,27.50517290494372,19.866826748408084,37.24910484653207,17.790553061209284,0,2019,Los Ríos
records,2019.0,14,MUJER,11.0,205487.0,5.353136694778745,2.672266550797296,9.578240235782289,7.169751500244041,3.542648502089676,13.101692273110045,4.790966292499856,0,2019,Los Ríos
records,2019.0,14,TOTAL,54.0,403413.0,13.385785782808188,10.055814257979973,17.465546820184453,17.505139068702015,13.122473734789995,22.950949558751326,5.75351190808107,0,2019,Los Ríos
records,2019.0,15,HOMBRE,33.0,124067.0,26.598531438658146,18.309205165539456,37.35422736841328,31.093769712752945,21.369471622540505,43.869193284029365,29.526256180647042,0,2019,Arica y Parinacota
records,2019.0,15,MUJER,9.0,122969.0,7.318917776024851,3.3466752574863046,13.89358574227583,9.139917278891843,4.142280524553624,17.567433833052082,9.45920723685631,0,2019,Arica y Parinacota
records,2019.0,15,TOTAL,42.0,247036.0,17.001570621285968,12.253236666914011,22.981184434046313,20.535292373842452,14.778476121494888,27.852833021000116,10.12310477809516,0,2019,Arica y Parinacota
records,2019.0,16,HOMBRE,102.0,246415.0,41.393583994480856,33.751520887035085,50.24898671327992,52.373504163116294,42.66825007110492,63.72853735159519,27.104182035435432,0,2019,Ñuble
records,2019.0,16,MUJER,18.0,261544.0,6.882207200318111,4.0788321584129354,10.876854474783586,9.532204150645027,5.634358233090322,15.238865791263919,5.093432274184256,0,2019,Ñuble
records,2019.0,16,TOTAL,120.0,507959.0,23.623953901791285,19.58660553823019,28.248458117555206,31.40923545933684,26.019858216361662,37.63773295295752,8.290540545107426,0,2019,Ñuble
records,2020.0,1,HOMBRE,15.0,193145.0,7.76618602604261,4.346675364510246,12.809142805397935,8.603076885236275,4.8033584154248254,14.387081071675281,4.9703862094146825,0,2020,Tarapacá
records,2020.0,1,MUJER,17.0,189628.0,8.964920792288058,5.222396729178863,14.35370663399214,9.894350727398816,5.742002637802948,15.999739407208404,5.830023743378815,0,2020,Tarapacá
records,2020.0,1,TOTAL,32.0,382773.0,8.360046293756351,5.718265476218167,11.801890958719783,9.22203468956402,6.29460583031641,13.084301717923633,2.6846084742177116,0,2020,Tarapacá
records,2020.0,2,HOMBRE,74.0,348210.0,21.25154360874185,16.687032607719757,26.679366905573257,24.93469860662399,19.551481457733402,31.473087096488673,8.494550063323791,0,2020,Antofagasta
records,2020.0,2,MUJER,20.0,343644.0,5.8199764872949915,3.5549928371814854,8.988481656212418,7.235558026800414,4.415802001293803,11.215103581234207,2.625932819767949,0,2020,Antofagasta
records,2020.0,2,TOTAL,94.0,691854.0,13.586681583108575,10.979421727574056,16.62665731915003,16.300274321844544,13.158009022853985,19.98250778815295,2.8539335793174807,0,2020,Antofagasta
records,2020.0,3,HOMBRE,18.0,158939.0,11.325099566500356,6.711971750419675,17.89853985964929,13.232236711594583,7.827192166061873,21.05465052988039,9.790604153296538,0,2020,Atacama
records,2020.0,3,MUJER,2.0,155770.0,1.2839442768183862,0.15549160848941707,4.638048191387276,1.4107932706703281,0.17085361013187036,5.4727245973678285,0.9951688262843411,0,2020,Atacama
records,2020.0,3,TOTAL,20.0,314709.0,6.355077230076039,3.8818462723989287,9.814901354163561,7.45370913972943,4.544197020288782,11.587320482768208,2.7971340800909865,0,2020,Atacama
records,2020.0,4,HOMBRE,72.0,409614.0,17.577524205715626,13.753330132805115,22.13598266774523,21.902549628929695,17.116384710106008,27.651724316340484,6.725667679093883,0,2020,Coquimbo
records,2020.0,4,MUJER,10.0,426482.0,2.344764843533842,1.124405882577092,4.312106030739346,3.0834198993916253,1.472967023158309,5.754535574298236,0.9591249478964521,0,2020,Coquimbo
records,2020.0,4,TOTAL,82.0,836096.0,9.807486221677893,7.800184843355829,12.17367636444477,12.64835327558426,10.047744748208427,15.737017913413037,1.9700354464504188,0,2020,Coquimbo
records,2020.0,5,HOMBRE,126.0,958672.0,13.143181400937964,10.94862110419088,15.648631916613716,16.650066486020112,13.853230781486381,19.872174625381536,2.2280431880163505,0,2020,Valparaíso
records,2020.0,5,MUJER,36.0,1001498.0,3.594615266331036,2.5176243404694993,4.976462707787354,5.013459264510448,3.4965711546390468,6.993044459812126,0.7134429811370528,0,2020,Valparaíso
records,2020.0,5,TOTAL,162.0,1960170.0,8.264589295826383,7.040917708932042,9.639797914281797,10.930068712967156,9.299453383783248,12.777276338561322,0.7491689768234984,0,2020,Valparaíso
records,2020.0,6,HOMBRE,41.0,495674.0,8.271565585445272,5.935818273392448,11.221312710720134,10.598485470534587,7.588985937338733,14.444743657769207,2.773217230640292,0,2020,O'Higgins
records,2020.0,6,MUJER,15.0,495389.0,3.0279235106148907,1.6947058034763216,4.9940993585820115,4.22814831659439,2.3621844388065014,7.014636000162918,1.1983051086517431,0,2020,O'Higgins
records,2020.0,6,TOTAL,56.0,991063.0,5.65049850514044,4.268325846351868,7.337642310083712,7.479723035418794,5.6407600780614615,9.744611407967872,1.0100719046407503,0,2020,O'Higgins
records,2020.0,7,HOMBRE,61.0,556100.0,10.96925013486783,8.39060718593464,14.090460693191167,14.013519513898189,10.707583686414969,18.044053943021034,3.2438272313218084,0,2020,Maule
records,2020.0,7,MUJER,11.0,575839.0,1.9102561653517738,0.9535929951317711,3.417975946975101,2.4974523507746853,1.2280392461198255,4.558486464146262,0.5881272806541635,0,2020,Maule
records,2020.0,7,TOTAL,72.0,1131939.0,6.360766790436587,4.976908268925123,8.010333069596324,8.361268783379856,6.532105809621556,10.55735951631535,0.982495692156772,0,2020,Maule
records,2020.0,8,HOMBRE,174.0,810577.0,21.466190133694887,18.39505457310479,24.903453371020028,27.073903553854322,23.18488269757683,31.455347208562458,4.248009019851546,0,2020,Biobío
records,2020.0,8,MUJER,55.0,853119.0,6.446931787945175,4.856711311251828,8.391567879271165,8.985649758992917,6.756362772721605,11.742961086792327,1.4864746046399886,0,2020,Biobío
records,2020.0,8,TOTAL,229.0,1663696.0,13.764533905232687,12.039373277854873,15.667516962022491,18.186413982860316,15.896379687481362,20.726771174270482,1.4583254115188764,0,2020,Biobío
records,2020.0,9,HOMBRE,67.0,495735.0,13.51528538432832,10.474160534398527,17.163934688451764,16.675518630002603,12.913020456174827,21.229627438706476,4.174709412033506,0,2020,La Araucanía
records,2020.0,9,MUJER,28.0,518608.0,5.399068275074816,3.5876416591833395,7.803156901410737,6.872667678994968,4.545433446752825,10.027391994400636,1.7222050785799168,0,2020,La Araucanía
records,2020.0,9,TOTAL,95.0,1014343.0,9.36566822071035,7.577384875069886,11.449043728162517,11.843055491707924,9.570904779054835,14.512524671963785,1.4913973435248364,0,2020,La Araucanía
records,2020.0,10,HOMBRE,66.0,443617.0,14.877698555285303,11.506410984845324,18.92808040325479,18.71377571350705,14.457363423167529,23.883718996927954,5.348757627623884,0,2020,Los Lagos
records,2020.0,10,MUJER,23.0,447823.0,5.13595773330088,3.255756635332414,7.706458331714323,6.945146890213859,4.401133237810672,10.47944207500193,2.0999781745539807,0,2020,Los Lagos
records,2020.0,10,TOTAL,89.0,891440.0,9.98384636094409,8.017848440988821,12.285982050811768,12.906414301711168,10.35680044537184,15.919124851337353,1.8843124237671987,0,2020,Los Lagos
records,2020.0,11,HOMBRE,7.0,54276.0,12.897044734320879,5.185280882010217,26.572841332637587,15.355483249777182,6.125584724653516,32.89195533723752,34.156507873316535,0,2020,Aysén
records,2020.0,11,MUJER,2.0,53021.0,3.772090303841874,0.45681763554811294,13.626087149853756,5.114488998617926,0.619388345238147,19.675970929916833,13.078998858491897,0,2020,Aysén
records,2020.0,11,TOTAL,9.0,107297.0,8.38793256102221,3.835496889361617,15.922908796535937,10.310201180258236,4.687970772921693,20.181355496367022,11.953691909142368,0,2020,Aysén
records,2020.0,12,HOMBRE,32.0,90675.0,35.29087400055142,24.138931691518682,49.82018426183675,46.532239074192496,31.73374632146053,66.24248207280502,68.63113468562061,0,2020,Magallanes
