era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,autismo_F840,G409,G409,solo_secundario,9
2019-2020,autismo_F840,F841,F841,solo_secundario,5
2019-2020,autismo_F840,S4240,S4240,solo_secundario,5
2019-2020,autismo_F840,J353,J353,solo_secundario,5
2019-2020,autismo_F840,K029,K029,solo_secundario,3
2019-2020,autismo_F840,A099,A099,solo_secundario,3
2019-2020,autismo_F840,F845,F845,principal,3
2019-2020,autismo_F840,Z518,Z518,solo_secundario,3
2019-2020,autismo_F840,D480,D480,solo_secundario,2
2019-2020,autismo_F840,D649,D649,solo_secundario,2
2019-2020,autismo_F840,J189,J189,solo_secundario,2
2019-2020,autismo_F840,J129,J129,solo_secundario,2
2019-2020,autismo_F840,J351,J351,solo_secundario,2
2019-2020,autismo_F840,G403,G403,solo_secundario,2
2019-2020,autismo_F840,J159,J159,solo_secundario,2
2019-2020,autismo_F840,F431,F431,solo_secundario,2
2019-2020,autismo_F840,R458,R458,solo_secundario,2
2019-2020,autismo_F840,N47,N47,solo_secundario,2
2019-2020,autismo_F840,Z478,Z478,solo_secundario,1
2019-2020,autismo_F840,M2176,M2389,solo_secundario,1
2019-2020,autismo_F840,M2106,M2106,solo_secundario,1
2019-2020,autismo_F840,L923,Q211,solo_secundario,1
2019-2020,autismo_F840,M2117,M2117,solo_secundario,1
2019-2020,autismo_F840,L600,L600,solo_secundario,1
2019-2020,autismo_F840,Z133,Z133,solo_secundario,1
2019-2020,autismo_F840,M359,M359,solo_secundario,1
2019-2020,autismo_F840,K918,Q375,solo_secundario,1
2019-2020,autismo_F840,M8565,S7240,solo_secundario,1
2019-2020,autismo_F840,M8698,A047,solo_secundario,1
2019-2020,autismo_F840,M8793,M8793,solo_secundario,1
2019-2020,autismo_F840,N10,J159,solo_secundario,1
2019-2020,autismo_F840,N179,N311,solo_secundario,1
2019-2020,autismo_F840,N258,C910,solo_secundario,1
2019-2020,autismo_F840,N390,J121,solo_secundario,1
2019-2020,autismo_F840,N390,N390,solo_secundario,1
2019-2020,autismo_F840,L059,L059,solo_secundario,1
2019-2020,autismo_F840,K801,T810,solo_secundario,1
2019-2020,autismo_F840,K859,K859,solo_secundario,1
2019-2020,autismo_F840,Z511,Z511,solo_secundario,1
2019-2020,autismo_F840,Z518,Q234,solo_secundario,1
2019-2020,autismo_F840,K221,K221,solo_secundario,1
2019-2020,autismo_F840,K222,K222,solo_secundario,1
2019-2020,autismo_F840,K295,K295,solo_secundario,1
2019-2020,autismo_F840,K353,K353,solo_secundario,1
2019-2020,autismo_F840,Z518,H024,solo_secundario,1
2019-2020,autismo_F840,K358,K358,solo_secundario,1
2019-2020,autismo_F840,K429,K429,solo_secundario,1
2019-2020,autismo_F840,K559,I880,solo_secundario,1
2019-2020,autismo_F840,K858,K851,solo_secundario,1
2019-2020,autismo_F840,K561,Z511,solo_secundario,1
2019-2020,autismo_F840,K590,J00,solo_secundario,1
2019-2020,autismo_F840,K590,J159,solo_secundario,1
2019-2020,autismo_F840,K590,J353,solo_secundario,1
