unit,period,variable,cut_comuna,comuna,codregion,value,spatial_lag,local_i,quadrant,p_sim,fdr_threshold,island,cluster_p05,cluster_fdr
persons,2021-2024,asr,6204,Marchigüe,6,98.9926891274676,57.431388126972266,-0.09710139156013152,4,0.089,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6102,Codegua,6,41.272268542493066,79.48427795566279,0.09961632958696899,3,0.406,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6103,Coinco,6,37.872303276959336,55.33723514965142,0.43834002789046117,3,0.052,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6104,Coltauco,6,63.96576874298734,49.91817547118532,0.24193186608319756,3,0.037,0.001608187134502924,False,Bajo-Bajo,No significativo
persons,2021-2024,asr,9121,Cholchol,9,84.87816114678067,91.25814149644931,-0.00265379495373223,2,0.392,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9103,Cunco,9,81.22930934521017,66.99458076893109,0.03409038319729865,3,0.162,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9105,Freire,9,40.460960632411634,104.88779833995845,-0.22896660489799237,2,0.19,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9106,Galvarino,9,54.77361797010084,111.69636169961004,-0.22044183075110346,2,0.138,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6106,Graneros,6,46.59858390790944,66.30938621404124,0.2369469297372725,3,0.237,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6109,Malloa,6,18.888345587216254,58.18898839246744,0.552593749185778,3,0.145,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9111,Nueva Imperial,9,129.85271286000005,71.1565791017156,-0.19064816104926716,4,0.256,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9113,Perquenco,9,92.90269338184814,116.1911396836386,0.045149751861326866,1,0.133,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9114,Pitrufquén,9,151.44579030995612,78.97783363188279,-0.1479580663577207,4,0.395,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9101,Temuco,9,136.499487052191,101.48906590041547,0.19424397890576547,1,0.222,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9117,Teodoro Schmidt,9,43.68791808679411,97.81960757250681,-0.12760770035063632,2,0.274,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9119,Vilcún,9,70.14435159031797,97.91133049329474,-0.05059793046418862,2,0.273,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9201,Angol,9,250.44022530952603,102.17892511856837,0.6751714549239564,1,0.171,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9202,Collipulli,9,70.9785142771513,111.85209083202813,-0.11125345866725708,2,0.123,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9203,Curacautín,9,74.97418044305009,83.27693449733557,0.013681868698513042,3,0.476,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9204,Ercilla,9,90.77094145415025,121.68190007427052,0.03335580516030523,1,0.1,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9206,Los Sauces,9,80.8003864125233,132.9531513028756,-0.08219654648273346,2,0.055,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9207,Lumaco,9,79.23692735083016,87.13726514012467,0.00031882288707376255,3,0.444,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9208,Purén,9,171.45732752616286,110.04981894259083,0.5323526681256544,1,0.157,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9209,Renaico,9,122.50350039828614,133.60737733825124,0.45322610169358724,1,0.053,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9210,Traiguén,9,72.86033487370865,88.63576767798267,-0.005429867149161376,2,0.419,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,9211,Victoria,9,133.33003949844334,101.04787180370167,0.1760928807993083,1,0.227,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,13129,San Joaquín,13,125.24859283104227,89.71694534170042,0.02569907668907497,1,0.399,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6112,Peumo,6,25.741195464162377,48.83657457410996,0.6570754060115831,3,0.074,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,6113,Pichidegua,6,35.708619745615465,57.32049403037955,0.4291285533471499,3,0.075,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,10307,San Pablo,10,85.73446076552284,104.51271785414148,-0.007397318090548402,2,0.219,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,14201,La Unión,14,32.03891794935926,81.00943884491004,0.09620813003556147,3,0.423,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,14104,Los Lagos,14,61.29256505676841,54.990426994950006,0.2330610063215733,3,0.09,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,14105,Máfil,14,46.47022190881841,56.96207102111664,0.34364319122817133,3,0.111,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,14107,Paillaco,14,46.14874000478149,71.70833169560592,0.1778897531714183,3,0.288,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,7103,Curepto,7,36.54249971386642,67.11000787487407,0.28423574733592416,3,0.224,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,7104,Empedrado,7,0.0,83.11223084305047,0.10103249946555985,3,0.481,0.001608187134502924,False,No significativo,No significativo
persons,2021-2024,asr,13130,San Miguel,13,88.94919584127949,122.77966933080945,0.016458114730595493,1,0.071,0.001608187134502924,False,No significativo,No significativo
