year,cut_region,sex,age_group,population
2017,1,HOMBRE,0-4,14459.0
2017,1,HOMBRE,10-14,12503.0
2017,1,HOMBRE,15-19,12768.0
2017,1,HOMBRE,20-24,14313.0
2017,1,HOMBRE,25-29,15722.0
2017,1,HOMBRE,30-34,14582.0
2017,1,HOMBRE,35-39,13736.0
2017,1,HOMBRE,40-44,12326.0
2017,1,HOMBRE,45-49,10671.0
2017,1,HOMBRE,5-9,14378.0
2017,1,HOMBRE,50-54,9865.0
2017,1,HOMBRE,55-59,8557.0
2017,1,HOMBRE,60-64,7286.0
2017,1,HOMBRE,65-69,4859.0
2017,1,HOMBRE,70-74,3040.0
2017,1,HOMBRE,75-79,1924.0
2017,1,HOMBRE,80+,2104.0
2017,1,MUJER,0-4,13886.0
2017,1,MUJER,10-14,12124.0
2017,1,MUJER,15-19,11959.0
2017,1,MUJER,20-24,13471.0
2017,1,MUJER,25-29,15069.0
2017,1,MUJER,30-34,14045.0
2017,1,MUJER,35-39,12922.0
2017,1,MUJER,40-44,11599.0
2017,1,MUJER,45-49,10312.0
2017,1,MUJER,5-9,13870.0
2017,1,MUJER,50-54,9594.0
2017,1,MUJER,55-59,8426.0
2017,1,MUJER,60-64,7284.0
2017,1,MUJER,65-69,5153.0
2017,1,MUJER,70-74,3519.0
2017,1,MUJER,75-79,2445.0
2017,1,MUJER,80+,3358.0
2017,2,HOMBRE,0-4,24505.0
2017,2,HOMBRE,10-14,22098.0
2017,2,HOMBRE,15-19,23324.0
2017,2,HOMBRE,20-24,26912.0
2017,2,HOMBRE,25-29,29133.0
2017,2,HOMBRE,30-34,26592.0
2017,2,HOMBRE,35-39,24920.0
2017,2,HOMBRE,40-44,24005.0
2017,2,HOMBRE,45-49,20445.0
2017,2,HOMBRE,5-9,24393.0
2017,2,HOMBRE,50-54,18582.0
2017,2,HOMBRE,55-59,16324.0
2017,2,HOMBRE,60-64,13521.0
2017,2,HOMBRE,65-69,8910.0
2017,2,HOMBRE,70-74,5133.0
2017,2,HOMBRE,75-79,3188.0
2017,2,HOMBRE,80+,3369.0
2017,2,MUJER,0-4,23551.0
2017,2,MUJER,10-14,21216.0
2017,2,MUJER,15-19,22129.0
2017,2,MUJER,20-24,25933.0
2017,2,MUJER,25-29,27828.0
2017,2,MUJER,30-34,24951.0
2017,2,MUJER,35-39,23391.0
2017,2,MUJER,40-44,22681.0
2017,2,MUJER,45-49,19207.0
2017,2,MUJER,5-9,23395.0
2017,2,MUJER,50-54,17770.0
2017,2,MUJER,55-59,16040.0
2017,2,MUJER,60-64,13461.0
2017,2,MUJER,65-69,9499.0
