year,cut_region,age,population
2017,1,0,5282.0
2017,1,1,5676.0
2017,1,2,5818.0
2017,1,3,5805.0
2017,1,4,5764.0
2017,1,5,5794.0
2017,2,0,8806.0
2017,2,1,9657.0
2017,2,2,10063.0
2017,2,3,9797.0
2017,2,4,9733.0
2017,2,5,9545.0
2017,3,0,4222.0
2017,3,1,4608.0
2017,3,2,4745.0
2017,3,3,4903.0
2017,3,4,4845.0
2017,3,5,5048.0
2017,4,0,9934.0
2017,4,1,10849.0
2017,4,2,11683.0
2017,4,3,11711.0
2017,4,4,11725.0
2017,4,5,11986.0
2017,5,0,21891.0
2017,5,1,23572.0
2017,5,2,24408.0
2017,5,3,23993.0
2017,5,4,23991.0
2017,5,5,24636.0
2017,6,0,11703.0
2017,6,1,12502.0
2017,6,2,12611.0
2017,6,3,12557.0
2017,6,4,12825.0
2017,6,5,13142.0
2017,7,0,13713.0
2017,7,1,14438.0
2017,7,2,14764.0
2017,7,3,14376.0
2017,7,4,14381.0
2017,7,5,14352.0
2017,8,0,19452.0
2017,8,1,20964.0
2017,8,2,21465.0
2017,8,3,21272.0
2017,8,4,21235.0
2017,8,5,21843.0
2017,9,0,12507.0
2017,9,1,13061.0
2017,9,2,13598.0
2017,9,3,13252.0
2017,9,4,13344.0
2017,9,5,13727.0
2017,10,0,10771.0
2017,10,1,11215.0
2017,10,2,11230.0
2017,10,3,11268.0
2017,10,4,11410.0
2017,10,5,11781.0
2017,11,0,1374.0
2017,11,1,1467.0
2017,11,2,1509.0
2017,11,3,1556.0
2017,11,4,1604.0
2017,11,5,1549.0
2017,12,0,1935.0
2017,12,1,2074.0
2017,12,2,2137.0
2017,12,3,2096.0
2017,12,4,2127.0
2017,12,5,2195.0
2017,13,0,97619.0
2017,13,1,101413.0
2017,13,2,102676.0
2017,13,3,100060.0
2017,13,4,98560.0
2017,13,5,99228.0
2017,14,0,4549.0
2017,14,1,4843.0
2017,14,2,4820.0
2017,14,3,5042.0
2017,14,4,5156.0
2017,14,5,5329.0
2017,15,0,3149.0
2017,15,1,3281.0
2017,15,2,3559.0
2017,15,3,3547.0
2017,15,4,3521.0
2017,15,5,3627.0
2017,16,0,5518.0
2017,16,1,5911.0
2017,16,2,6117.0
2017,16,3,6083.0
2017,16,4,6043.0
2017,16,5,6347.0
2018,1,0,5350.0
2018,1,1,5366.0
2018,1,2,5763.0
2018,1,3,5906.0
2018,1,4,5889.0
2018,1,5,5844.0
2018,2,0,8883.0
2018,2,1,8905.0
2018,2,2,9733.0
2018,2,3,10117.0
2018,2,4,9831.0
2018,2,5,9757.0
2018,3,0,4073.0
2018,3,1,4252.0
2018,3,2,4635.0
2018,3,3,4765.0
2018,3,4,4918.0
2018,3,5,4860.0
2018,4,0,9679.0
2018,4,1,10056.0
2018,4,2,10993.0
2018,4,3,11837.0
2018,4,4,11869.0
2018,4,5,11880.0
2018,5,0,21198.0
2018,5,1,22051.0
2018,5,2,23773.0
2018,5,3,24624.0
2018,5,4,24214.0
2018,5,5,24207.0
2018,6,0,11272.0
2018,6,1,11842.0
2018,6,2,12679.0
2018,6,3,12780.0
2018,6,4,12718.0
2018,6,5,12974.0
2018,7,0,13175.0
2018,7,1,13850.0
2018,7,2,14595.0
2018,7,3,14928.0
2018,7,4,14545.0
2018,7,5,14554.0
2018,8,0,18547.0
2018,8,1,19544.0
2018,8,2,21046.0
2018,8,3,21532.0
2018,8,4,21332.0
2018,8,5,21295.0
2018,9,0,11929.0
2018,9,1,12587.0
2018,9,2,13163.0
2018,9,3,13708.0
2018,9,4,13364.0
2018,9,5,13450.0
2018,10,0,10280.0
2018,10,1,10811.0
2018,10,2,11259.0
2018,10,3,11265.0
2018,10,4,11297.0
2018,10,5,11430.0
2018,11,0,1317.0
2018,11,1,1390.0
2018,11,2,1485.0
2018,11,3,1524.0
2018,11,4,1567.0
2018,11,5,1613.0
2018,12,0,1886.0
2018,12,1,1955.0
2018,12,2,2096.0
2018,12,3,2157.0
2018,12,4,2112.0
2018,12,5,2140.0
2018,13,0,97355.0
2018,13,1,98244.0
2018,13,2,102093.0
2018,13,3,103386.0
2018,13,4,100757.0
2018,13,5,99255.0
2018,14,0,4373.0
2018,14,1,4586.0
2018,14,2,4881.0
2018,14,3,4856.0
2018,14,4,5075.0
2018,14,5,5186.0
2018,15,0,3070.0
2018,15,1,3181.0
2018,15,2,3314.0
2018,15,3,3593.0
2018,15,4,3580.0
2018,15,5,3551.0
2018,16,0,5273.0
2018,16,1,5618.0
2018,16,2,6025.0
2018,16,3,6231.0
2018,16,4,6187.0
2018,16,5,6131.0
2019,1,0,5564.0
2019,1,1,5446.0
2019,1,2,5482.0
2019,1,3,5894.0
2019,1,4,6038.0
2019,1,5,6017.0
2019,2,0,9247.0
2019,2,1,8975.0
2019,2,2,9004.0
2019,2,3,9835.0
2019,2,4,10216.0
2019,2,5,9931.0
2019,3,0,4077.0
2019,3,1,4107.0
2019,3,2,4287.0
2019,3,3,4667.0
2019,3,4,4791.0
2019,3,5,4944.0
2019,4,0,9714.0
2019,4,1,9809.0
2019,4,2,10217.0
2019,4,3,11167.0
2019,4,4,12013.0
2019,4,5,12041.0
2019,5,0,21190.0
2019,5,1,21383.0
