year,code,label,section,age_group,sex,count
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,0-4,Hombres,385
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,0-4,Mujeres,105
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,5-9,Hombres,874
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,5-9,Mujeres,204
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,10-14,Hombres,550
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,10-14,Mujeres,193
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,15-19,Hombres,294
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,15-19,Mujeres,121
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,20-24,Hombres,76
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,20-24,Mujeres,31
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,25-29,Hombres,38
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,25-29,Mujeres,30
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,30-34,Hombres,14
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,30-34,Mujeres,16
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,35-39,Hombres,16
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,35-39,Mujeres,17
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,40-44,Hombres,8
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,40-44,Mujeres,17
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,45-49,Hombres,10
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,45-49,Mujeres,14
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,50-54,Hombres,10
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,50-54,Mujeres,19
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,55-59,Hombres,10
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,55-59,Mujeres,13
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,60-64,Hombres,3
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,60-64,Mujeres,17
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,65-69,Hombres,4
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,65-69,Mujeres,7
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,70-74,Hombres,2
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,70-74,Mujeres,4
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,75-79,Hombres,3
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,75-79,Mujeres,9
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,80+,Hombres,3
2017,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,80+,Mujeres,7
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,0-4,Hombres,64
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,0-4,Mujeres,16
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,5-9,Hombres,197
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,5-9,Mujeres,55
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,10-14,Hombres,134
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,10-14,Mujeres,38
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,15-19,Hombres,85
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,15-19,Mujeres,38
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,20-24,Hombres,16
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,20-24,Mujeres,10
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,25-29,Hombres,8
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,25-29,Mujeres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,30-34,Hombres,7
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,30-34,Mujeres,5
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,35-39,Hombres,3
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,35-39,Mujeres,5
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,40-44,Hombres,1
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,40-44,Mujeres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,45-49,Hombres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,45-49,Mujeres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,50-54,Hombres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,50-54,Mujeres,10
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,55-59,Hombres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,55-59,Mujeres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,60-64,Hombres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,60-64,Mujeres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,65-69,Hombres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,65-69,Mujeres,1
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,70-74,Hombres,4
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,70-74,Mujeres,3
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,75-79,Hombres,1
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,75-79,Mujeres,2
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,80+,Hombres,0
2017,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,80+,Mujeres,3
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,0-4,Hombres,492
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,0-4,Mujeres,182
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,5-9,Hombres,1066
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,5-9,Mujeres,246
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,10-14,Hombres,662
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,10-14,Mujeres,199
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,15-19,Hombres,303
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,15-19,Mujeres,127
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,20-24,Hombres,65
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,20-24,Mujeres,31
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,25-29,Hombres,41
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,25-29,Mujeres,20
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,30-34,Hombres,10
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,30-34,Mujeres,11
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,35-39,Hombres,13
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,35-39,Mujeres,15
2018,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,40-44,Hombres,7
