year,code,IdRegion,age_group,sex,count
2017,05225000,1,0-4,Hombres,2.0
2017,05225000,1,0-4,Mujeres,1.0
2017,05225000,1,5-9,Hombres,8.0
2017,05225000,1,5-9,Mujeres,0.0
2017,05225000,1,10-14,Hombres,11.0
2017,05225000,1,10-14,Mujeres,3.0
2017,05225000,1,15-19,Hombres,6.0
2017,05225000,1,15-19,Mujeres,4.0
2017,05225000,1,20-24,Hombres,1.0
2017,05225000,1,20-24,Mujeres,0.0
2017,05225000,1,25-29,Hombres,1.0
2017,05225000,1,25-29,Mujeres,0.0
2017,05225000,1,30-34,Hombres,1.0
2017,05225000,1,30-34,Mujeres,0.0
2017,05225000,1,35-39,Hombres,0.0
2017,05225000,1,35-39,Mujeres,0.0
2017,05225000,1,40-44,Hombres,0.0
2017,05225000,1,40-44,Mujeres,0.0
2017,05225000,1,45-49,Hombres,0.0
2017,05225000,1,45-49,Mujeres,0.0
2017,05225000,1,50-54,Hombres,0.0
2017,05225000,1,50-54,Mujeres,1.0
2017,05225000,1,55-59,Hombres,0.0
2017,05225000,1,55-59,Mujeres,0.0
2017,05225000,1,60-64,Hombres,0.0
2017,05225000,1,60-64,Mujeres,0.0
2017,05225000,1,65-69,Hombres,0.0
2017,05225000,1,65-69,Mujeres,0.0
2017,05225000,1,70-74,Hombres,0.0
2017,05225000,1,70-74,Mujeres,0.0
2017,05225000,1,75-79,Hombres,0.0
2017,05225000,1,75-79,Mujeres,0.0
2017,05225000,1,80+,Hombres,0.0
2017,05225000,1,80+,Mujeres,0.0
2017,05225000,10,0-4,Hombres,3.0
2017,05225000,10,0-4,Mujeres,0.0
2017,05225000,10,5-9,Hombres,3.0
2017,05225000,10,5-9,Mujeres,2.0
2017,05225000,10,10-14,Hombres,2.0
2017,05225000,10,10-14,Mujeres,2.0
2017,05225000,10,15-19,Hombres,2.0
2017,05225000,10,15-19,Mujeres,1.0
2017,05225000,10,20-24,Hombres,2.0
2017,05225000,10,20-24,Mujeres,
2017,05225000,10,25-29,Hombres,
2017,05225000,10,25-29,Mujeres,
2017,05225000,10,30-34,Hombres,
2017,05225000,10,30-34,Mujeres,
2017,05225000,10,35-39,Hombres,
2017,05225000,10,35-39,Mujeres,
2017,05225000,10,40-44,Hombres,
2017,05225000,10,40-44,Mujeres,
2017,05225000,10,45-49,Hombres,
2017,05225000,10,45-49,Mujeres,
2017,05225000,10,50-54,Hombres,
2017,05225000,10,50-54,Mujeres,
2017,05225000,10,55-59,Hombres,
2017,05225000,10,55-59,Mujeres,
2017,05225000,10,60-64,Hombres,
2017,05225000,10,60-64,Mujeres,
2017,05225000,10,65-69,Hombres,
2017,05225000,10,65-69,Mujeres,
2017,05225000,10,70-74,Hombres,
2017,05225000,10,70-74,Mujeres,
2017,05225000,10,75-79,Hombres,
2017,05225000,10,75-79,Mujeres,
2017,05225000,10,80+,Hombres,
2017,05225000,10,80+,Mujeres,
2017,05225000,11,0-4,Hombres,1.0
2017,05225000,11,0-4,Mujeres,
2017,05225000,11,5-9,Hombres,
2017,05225000,11,5-9,Mujeres,
2017,05225000,11,10-14,Hombres,
2017,05225000,11,10-14,Mujeres,
2017,05225000,11,15-19,Hombres,
2017,05225000,11,15-19,Mujeres,
2017,05225000,11,20-24,Hombres,
2017,05225000,11,20-24,Mujeres,
2017,05225000,11,25-29,Hombres,
2017,05225000,11,25-29,Mujeres,
2017,05225000,11,30-34,Hombres,
2017,05225000,11,30-34,Mujeres,
2017,05225000,11,35-39,Hombres,
2017,05225000,11,35-39,Mujeres,
2017,05225000,11,40-44,Hombres,
2017,05225000,11,40-44,Mujeres,
2017,05225000,11,45-49,Hombres,
2017,05225000,11,45-49,Mujeres,
2017,05225000,11,50-54,Hombres,
2017,05225000,11,50-54,Mujeres,
2017,05225000,11,55-59,Hombres,
2017,05225000,11,55-59,Mujeres,
