year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,months,reporting_establishments,rows,rows_total_known
2017,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2017/SA-17_V1.5_CODIGOS.xlsm,165,Col01,A05_Col04_Col37,3124,2300,824,385,105,874,204,550,193,294,121,76,31,38,30,14,16,16,17,8,17,10,14,10,19,10,13,3,17,4,7,2,4,3,9,3,7,1,1,23,5,,,,,,,,,,3124,12,612,1692,1692
2017,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2017/SA-17_V1.5_CODIGOS.xlsm,199,Col01,A05_Col04_Col37,736,532,204,64,16,197,55,134,38,85,38,16,10,8,4,7,5,3,5,1,4,2,4,2,10,2,4,2,2,4,1,4,3,1,2,0,3,484,3,82,0,0,2,0,,,,,,,736,12,322,651,651
2018,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2018/SA-18_V1.3_CODIGOS.xlsm,165,Col01,A05_Col04_Col37,3580,2680,900,492,182,1066,246,662,199,303,127,65,31,41,20,10,11,13,15,7,16,4,13,4,17,9,11,6,10,2,10,7,2,0,8,4,12,0,7,31,21,24,,,,,,,,,3580,12,662,1964,1964
2018,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2018/SA-18_V1.3_CODIGOS.xlsm,199,Col01,A05_Col04_Col37,1046,749,297,114,57,242,64,234,63,111,47,19,5,12,10,6,6,2,4,2,9,1,2,1,6,1,2,0,8,1,6,2,0,1,3,0,5,390,8,124,0,0,4,0,4.0,,,,,,1046,12,367,789,789
2019,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,201,Col01+Col02,not_applied,19279,18673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36898,12,701,3559,2943
2019,A03,03500405,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,202,Col01+Col02,not_applied,3099,2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4342,12,470,1664,1092
2019,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteracion del area de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,203,Col01+Col02,not_applied,1704,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107,12,263,806,425
2019,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteracion del area de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,204,Col01+Col02,not_applied,1057,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,12,188,432,186
2019,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,189,Col01,A05_Col04_Col37,4417,3347,1073,739,277,1350,303,728,208,367,130,77,32,38,22,22,19,6,13,3,16,4,9,7,12,6,13,3,6,1,6,2,5,1,2,1,0,3,13,92,30,29,40,,,,,,,,4417,12,651,2256,2255
2019,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,231,Col01,A05_Col04_Col37,1208,874,334,130,48,331,74,209,67,142,45,23,17,15,10,4,7,5,5,6,14,2,9,1,12,4,9,0,4,0,3,1,1,1,5,0,4,526,4,193,0,0,6,6,16.0,10.0,,,,,1208,12,387,922,922
2020,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,202,Col01+Col02,not_applied,10600,9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19293,12,663,2929,2048
