year,code,IdRegion,IdComuna,Col01,Col02,Col03,total_known,rows,rows_total_known,reporting_establishments
2017,05225000,1,01101,36,27,9,36,22,22,6
2017,05225000,1,01107,3,3,0,3,2,2,2
2017,05225000,10,10101,2,2,0,2,2,2,2
2017,05225000,10,10102,4,3,1,4,4,4,1
2017,05225000,10,10203,7,4,3,7,4,4,1
2017,05225000,10,10208,2,2,0,2,2,2,2
2017,05225000,10,10307,1,0,1,1,1,1,1
2017,05225000,10,10403,1,1,0,1,1,1,1
2017,05225000,11,11101,1,1,0,1,1,1,1
2017,05225000,11,11201,0,0,0,0,1,1,1
2017,05225000,12,12401,1,1,0,1,1,1,1
2017,05225000,13,13101,30,18,12,30,19,19,5
2017,05225000,13,13102,7,5,2,7,9,9,2
2017,05225000,13,13103,14,6,8,14,1,1,1
2017,05225000,13,13104,4,1,3,4,3,3,3
2017,05225000,13,13105,0,0,0,0,1,1,1
2017,05225000,13,13106,1,0,1,1,1,1,1
2017,05225000,13,13107,1,1,0,1,3,3,1
2017,05225000,13,13108,3,2,1,3,4,4,3
2017,05225000,13,13110,33,25,8,33,18,18,9
2017,05225000,13,13111,1,0,1,1,1,1,1
2017,05225000,13,13112,1,1,0,1,1,1,1
2017,05225000,13,13113,3,3,0,3,1,1,1
2017,05225000,13,13114,4,3,1,4,3,3,1
2017,05225000,13,13116,1,1,0,1,1,1,1
2017,05225000,13,13117,4,3,1,4,3,3,2
2017,05225000,13,13118,7,6,1,7,4,4,1
2017,05225000,13,13119,15,13,2,15,12,12,6
2017,05225000,13,13120,2,2,0,2,2,2,2
2017,05225000,13,13121,4,4,0,4,5,5,3
2017,05225000,13,13122,27,15,12,27,12,12,5
2017,05225000,13,13123,14,9,5,14,9,9,4
2017,05225000,13,13124,10,6,4,10,9,9,4
2017,05225000,13,13125,4,4,0,4,5,5,2
2017,05225000,13,13126,2,2,0,2,2,2,2
2017,05225000,13,13127,2,1,1,2,4,4,3
2017,05225000,13,13128,11,10,1,11,9,9,4
2017,05225000,13,13129,13,9,4,13,7,7,2
2017,05225000,13,13130,2,2,0,2,4,4,2
2017,05225000,13,13131,17,12,5,17,10,10,5
2017,05225000,13,13132,2,2,0,2,2,2,2
2017,05225000,13,13201,8,5,3,8,6,6,3
2017,05225000,13,13203,2,2,0,2,1,1,1
2017,05225000,13,13301,13,9,4,13,6,6,3
2017,05225000,13,13302,5,3,2,5,5,5,2
2017,05225000,13,13303,2,1,1,2,1,1,1
2017,05225000,13,13401,18,15,3,18,11,11,3
2017,05225000,13,13402,2,1,1,2,8,8,5
2017,05225000,13,13404,3,3,0,3,3,3,1
2017,05225000,13,13501,6,6,0,6,5,5,3
2017,05225000,13,13504,2,2,0,2,2,2,1
2017,05225000,13,13601,1,1,0,1,1,1,1
2017,05225000,13,13603,3,2,1,3,9,9,4
2017,05225000,13,13604,1,0,1,1,1,1,1
2017,05225000,13,13605,1,1,0,1,2,2,2
2017,05225000,14,14101,8,7,1,8,6,6,3
2017,05225000,14,14106,1,1,0,1,1,1,1
2017,05225000,14,14108,1,1,0,1,2,2,2
2017,05225000,14,14201,1,0,1,1,1,1,1
2017,05225000,15,15101,28,23,5,28,45,45,9
2017,05225000,2,02101,30,24,6,30,28,28,8
2017,05225000,2,02201,2,2,0,2,2,2,2
