year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping
2017,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2017/SA-17_V1.5_CODIGOS.xlsm,165,Col01,A05_Col04_Col37
2017,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2017/SA-17_V1.5_CODIGOS.xlsm,199,Col01,A05_Col04_Col37
2018,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2018/SA-18_V1.3_CODIGOS.xlsm,165,Col01,A05_Col04_Col37
2018,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2018/SA-18_V1.3_CODIGOS.xlsm,199,Col01,A05_Col04_Col37
2019,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,201,Col01+Col02,not_applied
2019,A03,03500405,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,202,Col01+Col02,not_applied
2019,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteracion del area de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,203,Col01+Col02,not_applied
2019,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteracion del area de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,204,Col01+Col02,not_applied
2019,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,189,Col01,A05_Col04_Col37
2019,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,231,Col01,A05_Col04_Col37
2020,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,202,Col01+Col02,not_applied
2020,A03,03500405,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,203,Col01+Col02,not_applied
2020,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteracion del area de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,204,Col01+Col02,not_applied
2020,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteracion del area de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,205,Col01+Col02,not_applied
2020,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,187,Col01,A05_Col04_Col37
2020,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,229,Col01,A05_Col04_Col37
2021,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,208,Col01+Col02,not_applied
2021,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,209,Col01+Col02,not_applied
2021,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteración del área de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,210,Col01+Col02,not_applied
2021,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteración del área de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,211,Col01+Col02,not_applied
2021,A05,05990022,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,213,Col01,A05_Col04_Col37
2021,A05,05990023,ASPERGER,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,214,Col01,A05_Col04_Col37
2021,A05,05990024,SÍNDROME DE RETT,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,215,Col01,A05_Col04_Col37
2021,A05,05990025,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,216,Col01,A05_Col04_Col37
2021,A05,05990026,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,217,Col01,A05_Col04_Col37
2021,A05,05990027,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,259,Col01,A05_Col04_Col37
2021,A05,05990028,ASPERGER,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,260,Col01,A05_Col04_Col37
2021,A05,05990029,SÍNDROME DE RETT,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,261,Col01,A05_Col04_Col37
