year,Mes,IdRegion,CodigoPrestacion,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,reporting_establishments,rows,rows_with_Col01,rows_total_known
2017,1,1,05225000,7,3,4,1,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,3,3,3,3
2017,1,1,06902600,6,6,0,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,2
2017,1,10,05225000,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,1,10,06902600,14,9,5,3,1,2,0,0,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,14,8,8,8,8
2017,1,11,06902600,2,2,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
2017,1,12,06902600,3,2,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
2017,1,13,05225000,19,15,4,4,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,19,17,17,17,17
2017,1,13,06902600,61,50,11,11,1,20,6,11,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,61,43,43,43,43
2017,1,14,06902600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,1,15,05225000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,,,,,,,1,3,3,3,3
2017,1,15,06902600,4,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,4,4,4,4,4
2017,1,2,05225000,7,3,4,,1,1,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,7,4,4,4,4
2017,1,2,06902600,2,2,0,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1
2017,1,3,05225000,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,1,3,06902600,30,12,18,1,1,2,2,3,0,0,0,0,3,1,2,1,3,0,1,1,1,0,1,1,2,0,0,0,0,0,1,1,1,0,0,1,0,,,,,,,,,,,,,,30,4,4,4,4
2017,1,4,05225000,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,1,4,06902600,10,3,7,,,2,1,,4,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,6,6,6
2017,1,5,05225000,9,7,2,,,4,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,9,9,9,9,9
2017,1,5,06902600,20,13,7,3,1,5,2,3,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,20,16,16,16,16
2017,1,6,05225000,2,2,0,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,3,3,3,3
2017,1,6,06902600,23,11,12,0,0,2,0,2,1,1,2,0,0,1,3,0,1,1,0,0,0,0,2,0,1,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,23,11,11,11,11
2017,1,7,05225000,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,2,2,2,2
2017,1,7,06902600,8,6,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,6,6,6,6
2017,1,8,05225000,6,4,2,,,2,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,6,6,6,6
2017,1,8,06902600,34,23,11,7,3,11,3,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,34,18,18,18,18
2017,1,9,05225000,4,4,0,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,4,4,4,4
2017,1,9,06902600,13,10,3,1,,2,,6,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,13,10,10,10,10
2017,2,1,05225000,5,4,1,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,4,4,4,4
2017,2,1,06902600,8,6,2,1,,4,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4,4,4
2017,2,10,06902600,11,11,0,0,0,4,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,11,8,8,8,8
2017,2,11,05225000,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,2,11,06902600,5,5,0,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3
2017,2,12,06902600,3,2,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
2017,2,13,05225000,15,13,2,2,1,4,1,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,,,,,,,15,16,16,16,16
2017,2,13,06902600,63,44,19,11,2,19,11,10,3,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,63,33,33,33,33
2017,2,14,06902600,1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2017,2,15,05225000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,,,,,,,1,1,1,1,1
2017,2,15,06902600,7,7,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,7,5,5,5,5
2017,2,2,05225000,3,3,0,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2
2017,2,2,06902600,9,7,2,2,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,4,4,4
2017,2,4,05225000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,1,1,1,1
2017,2,4,06902600,9,7,2,2,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,9,6,6,6,6
2017,2,5,05225000,5,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,,,,,,,,,,,5,5,5,5,5
