series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2021.0,1,HOMBRE,11.0,197277.0,5.575916097669774,2.7834772260511054,9.97685412557062,6.182321767210434,3.0846578168437704,11.209680355867574,3.47888244145307,0.0,2021,Tarapacá
05990022,2021.0,1,MUJER,2.0,193888.0,1.0315233536887276,0.12492226364909895,3.7262170261821055,1.1744687423563778,0.14216844254140143,4.416571119307185,0.6898895251516299,0.0,2021,Tarapacá
05990022,2021.0,1,TOTAL,13.0,391165.0,3.3234057239272428,1.7695735791811131,5.683125003044463,3.7288336743122414,1.9845583081740952,6.432007337271464,1.0708653742951408,0.0,2021,Tarapacá
05990022,2021.0,2,HOMBRE,111.0,354057.0,31.350884179665986,25.79057266772877,37.75455149608557,37.847771908930916,31.12442316950933,45.697888894208404,12.948589460637637,0.0,2021,Antofagasta
05990022,2021.0,2,MUJER,24.0,349689.0,6.863241337302575,4.397408226934923,10.211959081856511,8.741009215531474,5.599082356238562,13.039289702433736,3.1868750615521613,0.0,2021,Antofagasta
05990022,2021.0,2,TOTAL,135.0,703746.0,19.18305752359516,16.083743515055488,22.705470224284475,23.683197843658828,19.851257601075137,28.053758794725624,4.167419940737157,0.0,2021,Antofagasta
05990022,2021.0,3,HOMBRE,107.0,159897.0,66.91807851304277,54.840980254186,80.86364802398066,82.20879367150172,67.31605918709285,99.48638734114105,63.665178874163345,0.0,2021,Atacama
05990022,2021.0,3,MUJER,34.0,156840.0,21.678143330782962,15.01274444310907,30.293032450397273,26.51350752357425,18.323687482886253,37.224479165876964,20.8875008204788,0.0,2021,Atacama
05990022,2021.0,3,TOTAL,141.0,316737.0,44.51642845641652,37.472050020149496,52.50031674330677,54.9662653564555,46.232139307705104,64.90789606378924,21.614240185484864,0.0,2021,Atacama
05990022,2021.0,4,HOMBRE,118.0,415361.0,28.40902251294657,23.514898832650864,34.02137531541541,34.163417002070624,28.26260817394803,40.9970498847542,9.945307582384237,0.0,2021,Coquimbo
05990022,2021.0,4,MUJER,36.0,432718.0,8.319506006221141,5.826879727054393,11.51770309745289,10.922672184735267,7.636976238338133,15.214245824400871,3.3434018281930182,0.0,2021,Coquimbo
05990022,2021.0,4,TOTAL,154.0,848079.0,18.158685688479494,15.403993650167932,21.263853129764367,22.729702734332683,19.27105124770202,26.661644222897035,3.376221838185661,0.0,2021,Coquimbo
05990022,2021.0,5,HOMBRE,158.0,968008.0,16.32217915554417,13.87633354730614,19.07497757438699,21.772242912962312,18.498259115668382,25.48236113601151,3.022212181478433,0.0,2021,Valparaíso
05990022,2021.0,5,MUJER,38.0,1011365.0,3.757298304766331,2.6588879034963786,5.157185478957608,5.437015503903538,3.83767223161713,7.507166353141421,0.7885966398517793,0.0,2021,Valparaíso
05990022,2021.0,5,TOTAL,196.0,1979373.0,9.902125572087726,8.564306954021276,11.38966595871772,13.766991423846113,11.899351454557642,15.856529665111635,0.9752788672405399,0.0,2021,Valparaíso
05990022,2021.0,6,HOMBRE,66.0,500528.0,13.186075504267494,10.198109839737494,16.775921115803072,16.88151544618366,13.04477826985163,21.544868039065616,4.345528688506696,0.0,2021,O'Higgins
05990022,2021.0,6,MUJER,13.0,500431.0,2.597760730250524,1.3831981813684207,4.4422499641626665,3.543304920361538,1.8822709124838946,6.127001766151257,0.9719377865431013,0.0,2021,O'Higgins
05990022,2021.0,6,TOTAL,79.0,1000959.0,7.89243115851898,6.248512072881593,9.836324081673249,10.351508823402021,8.188650901181779,12.935262162316963,1.3654069284936758,0.0,2021,O'Higgins
05990022,2021.0,7,HOMBRE,167.0,561122.0,29.761798681926567,25.419020901972942,34.63373957129114,38.59044293864583,32.94736710351814,44.95131925385649,8.957269757685388,0.0,2021,Maule
05990022,2021.0,7,MUJER,27.0,581890.0,4.640052243551187,3.057823666288263,6.751032402200095,6.384288518229587,4.20359684103813,9.336016834471888,1.515348161831271,0.0,2021,Maule
05990022,2021.0,7,TOTAL,194.0,1143012.0,16.972700199123018,14.66826203436407,19.536444836896436,22.779872393027627,19.68037650918091,26.243521790646543,2.686724189328052,0.0,2021,Maule
05990022,2021.0,8,HOMBRE,250.0,813546.0,30.729669865010706,27.038175546427283,34.784475007229595,40.164277769656266,35.31839061387584,45.515298673734755,6.510946264802022,0.0,2021,Biobío
05990022,2021.0,8,MUJER,64.0,857044.0,7.467527921553619,5.750906434936298,9.535866444299826,10.29644963221987,7.902761379306912,13.221980881317167,1.6969411812725606,0.0,2021,Biobío
05990022,2021.0,8,TOTAL,314.0,1670590.0,18.79575479321677,16.774072854133692,20.993970012676744,25.516017700768433,22.75582842609458,28.53214325412226,2.0979156691436747,0.0,2021,Biobío
05990022,2021.0,9,HOMBRE,127.0,498048.0,25.499550244153173,21.257826123370492,30.339626913691678,32.4722262559685,27.04969498183246,38.69660392195585,8.37035229257452,0.0,2021,La Araucanía
05990022,2021.0,9,MUJER,48.0,521500.0,9.204218600191755,6.786464203927754,12.203458520062755,11.64830237126484,8.51938110655309,15.606193200885544,2.9674278692534277,0.0,2021,La Araucanía
05990022,2021.0,9,TOTAL,175.0,1019548.0,17.16446896075516,14.715526956496623,19.904475164938027,22.252631636414783,19.04933718846986,25.859078014339858,2.882533125405901,0.0,2021,La Araucanía
05990022,2021.0,10,HOMBRE,52.0,446418.0,11.648275831171683,8.699489536815546,15.27516402583966,15.17055714111745,11.31519921706432,19.968313597370976,4.463104801846007,0.0,2021,Los Lagos
05990022,2021.0,10,MUJER,18.0,450885.0,3.992148774077647,2.366000372689162,6.309316182070369,5.6743755940563245,3.353771796132509,9.030902741014987,1.8054267523247027,0.0,2021,Los Lagos
05990022,2021.0,10,TOTAL,70.0,897303.0,7.801155239645917,6.081383223721027,9.856290331363981,10.504525732593992,8.17863221355315,13.309923134597357,1.5911741838828302,0.0,2021,Los Lagos
05990022,2021.0,11,HOMBRE,25.0,54429.0,45.931396865641474,29.724378268623944,67.80380256394636,59.398533509446715,38.30396038536847,88.58176601420364,143.19886395621853,0.0,2021,Aysén
05990022,2021.0,11,MUJER,9.0,53308.0,16.88301943423126,7.719991553572323,32.049229855592344,20.58632553995249,9.334522995777185,40.68840608606386,47.93714448265022,0.0,2021,Aysén
05990022,2021.0,11,TOTAL,34.0,107737.0,31.558331863705135,21.855062220567,44.099605609217896,40.30012671774849,27.816452331008776,56.86178038904165,48.560660645354446,0.0,2021,Aysén
05990022,2021.0,12,HOMBRE,7.0,91500.0,7.6502732240437155,3.075806613682913,15.762486734100959,9.469820574649203,3.7748714902683114,20.394640120549848,13.007760197540945,0.0,2021,Magallanes
