year,age_group,sex,icd_code,hospitalizations
2019,0-4,Female,F80,103
2019,0-4,Female,F81,1
2019,0-4,Female,F82,117
2019,0-4,Female,F83,95
2019,0-4,Female,F84.0,53
2019,0-4,Female,F84.1,1
2019,0-4,Female,F84.2,6
2019,0-4,Female,F84.5,1
2019,0-4,Female,F84.8,37
2019,0-4,Female,F84.9,54
2019,0-4,Female,F89,14
2019,0-4,Female,F90.0,4
2019,0-4,Female,F90.9,2
2019,0-4,Male,F80,214
2019,0-4,Male,F81,2
2019,0-4,Male,F82,152
2019,0-4,Male,F83,127
2019,0-4,Male,F84.0,204
2019,0-4,Male,F84.1,3
2019,0-4,Male,F84.3,1
2019,0-4,Male,F84.5,10
2019,0-4,Male,F84.8,67
2019,0-4,Male,F84.9,83
2019,0-4,Male,F89,10
2019,0-4,Male,F90.0,23
2019,0-4,Male,F90.9,3
2019,10-14,Female,F80,31
2019,10-14,Female,F81,26
2019,10-14,Female,F82,14
2019,10-14,Female,F83,12
2019,10-14,Female,F84.0,91
2019,10-14,Female,F84.1,5
2019,10-14,Female,F84.2,23
2019,10-14,Female,F84.3,1
2019,10-14,Female,F84.5,14
2019,10-14,Female,F84.8,9
2019,10-14,Female,F84.9,12
2019,10-14,Female,F88,4
2019,10-14,Female,F89,18
2019,10-14,Female,F90.0,143
2019,10-14,Female,F90.1,4
2019,10-14,Female,F90.8,1
2019,10-14,Female,F90.9,9
2019,10-14,Male,F80,46
2019,10-14,Male,F81,29
2019,10-14,Male,F82,29
2019,10-14,Male,F83,10
2019,10-14,Male,F84.0,256
2019,10-14,Male,F84.1,8
2019,10-14,Male,F84.3,2
2019,10-14,Male,F84.4,2
2019,10-14,Male,F84.5,104
2019,10-14,Male,F84.8,18
2019,10-14,Male,F84.9,20
2019,10-14,Male,F88,3
2019,10-14,Male,F89,22
2019,10-14,Male,F90.0,411
2019,10-14,Male,F90.1,15
2019,10-14,Male,F90.8,1
2019,10-14,Male,F90.9,21
2019,15-19,Female,F80,9
2019,15-19,Female,F81,4
2019,15-19,Female,F82,10
2019,15-19,Female,F83,6
2019,15-19,Female,F84.0,35
2019,15-19,Female,F84.1,13
2019,15-19,Female,F84.2,6
2019,15-19,Female,F84.4,1
2019,15-19,Female,F84.5,10
2019,15-19,Female,F84.8,1
2019,15-19,Female,F84.9,7
2019,15-19,Female,F88,6
2019,15-19,Female,F89,19
2019,15-19,Female,F90.0,43
2019,15-19,Female,F90.1,2
2019,15-19,Female,F90.8,1
2019,15-19,Female,F90.9,2
2019,15-19,Male,F80,13
2019,15-19,Male,F81,9
2019,15-19,Male,F82,12
2019,15-19,Male,F83,5
2019,15-19,Male,F84.0,132
2019,15-19,Male,F84.1,15
2019,15-19,Male,F84.4,2
2019,15-19,Male,F84.5,58
2019,15-19,Male,F84.8,12
2019,15-19,Male,F84.9,11
2019,15-19,Male,F88,2
2019,15-19,Male,F89,10
2019,15-19,Male,F90.0,123
2019,15-19,Male,F90.1,16
2019,15-19,Male,F90.8,3
2019,15-19,Male,F90.9,6
2019,20-24,Female,F80,4
2019,20-24,Female,F82,3
2019,20-24,Female,F83,1
2019,20-24,Female,F84.0,9
2019,20-24,Female,F84.1,1
2019,20-24,Female,F84.2,6
2019,20-24,Female,F84.4,1
2019,20-24,Female,F84.5,5
2019,20-24,Female,F90.0,9
2019,20-24,Male,F80,6
2019,20-24,Male,F82,2
2019,20-24,Male,F84.0,29
2019,20-24,Male,F84.1,15
2019,20-24,Male,F84.5,39
2019,20-24,Male,F84.8,3
2019,20-24,Male,F84.9,4
2019,20-24,Male,F88,2
2019,20-24,Male,F89,3
2019,20-24,Male,F90.0,12
2019,20-24,Male,F90.1,2
2019,25-29,Female,F81,2
2019,25-29,Female,F82,3
2019,25-29,Female,F83,1
2019,25-29,Female,F84.0,5
2019,25-29,Female,F84.1,3
2019,25-29,Female,F84.5,2
2019,25-29,Female,F84.8,1
2019,25-29,Male,F80,2
2019,25-29,Male,F82,1
2019,25-29,Male,F83,1
2019,25-29,Male,F84.0,23
2019,25-29,Male,F84.1,6
2019,25-29,Male,F84.5,13
2019,25-29,Male,F84.8,5
2019,25-29,Male,F84.9,5
2019,25-29,Male,F90.0,3
