module,year_start,year_end,code,domain,setting,indicator,unit,aggregation_rule,comparability_warning
A03,2019,2024,03500404,screening,APS,Niños/as con control a los 18 meses,children reported,"For annual national totals sum months and COL01+COL02","Context denominator; retained after redesign but not equivalent to all screened children"
A03,2019,2024,03500405,screening,APS,Alteración de lenguaje y/o área social en control de 18 meses,children reported,"For annual national totals sum months and COL01+COL02","Selection criterion; not an autism-positive screen"
A03,2019,2022,03500406,screening,APS,M-CHAT performed among children with language/social alteration,screening records,"For annual national totals sum months and COL01+COL02","Selected subgroup only; not population screening coverage"
A03,2019,2022,03500407,screening,APS,Altered M-CHAT among children with language/social alteration,screening records,"For annual national totals sum months and COL01+COL02","Selected subgroup positivity; do not call population positivity"
A03,2023,2024,09600212,screening,APS,Suspected autism in other controls or consultations,children reported,"For annual national totals sum months and COL01+COL02","New construct from 2023"
A03,2023,2024,09600213,screening,APS,M-CHAT-R/F first part: low risk,screening results,"For annual national totals sum months and COL01+COL02","Definition break from legacy A03; 2025 recoded"
A03,2023,2024,09600214,screening,APS,M-CHAT-R/F first part: medium risk,screening results,"For annual national totals sum months and COL01+COL02","Definition break from legacy A03; 2025 medium risk split by referral"
A03,2023,2024,09600215,screening,APS,M-CHAT-R/F first part: high risk,screening results,"For annual national totals sum months and COL01+COL02","Definition break from legacy A03; overlaps referral-specific reporting"
A03,2023,2024,09600216,referral,APS,M-CHAT-R/F high risk with specialist referral,referral records,"For annual national totals sum months and COL01+COL02","Not linkable to A27 or A05 persons"
A03,2023,2023,09600217,screening,APS,M-CHAT-R/F second part: medium risk in first part,screening records,"For annual national totals sum months and COL01+COL02","Header/denominator row present only in 2023 definition"
A03,2023,2024,09600218,screening,APS,M-CHAT-R/F second part: no referral required,screening results,"For annual national totals sum months and COL01+COL02","2025 replaced by a new code family"
A03,2023,2024,09600219,referral,APS,M-CHAT-R/F second part: referral required,referral records,"For annual national totals sum months and COL01+COL02","2025 replaced by a new code family"
