id,organism,access,large,coverage,geography,unit,purpose,main_limitation,landing_url
deis_egresos,"DEIS, Ministerio de Salud",automatic,true,2001-2024,Chile/comuna,"egreso hospitalario",comprobacion externa de GRD,"solo DIAG1/DIAG2; sin identificador longitudinal",https://deis.minsal.cl/#datosabiertos
deis_rem,"DEIS, Ministerio de Salud",automatic,true,2009-2026,establecimiento/comuna,"registro mensual agregado",ruta agregada de deteccion y atencion,"comuna del establecimiento; cambios de definicion",https://deis.minsal.cl/#datosabiertos
grd_publico,FONASA,automatic,true,2019-2024,hospital/comuna informada,"episodio GRD/CMA",nucleo hospitalario,"cobertura observada 65 hospitales en 2019-2022, 68 en 2023 y 72 en 2024; fotografias corregibles; incluye CMA",https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_dictionaries,FONASA,automatic,false,versiones publicadas,nacional,"diccionario/tabla maestra",interpretacion GRD,"verificar version aplicable a cada ano",https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
deis_establishments,"DEIS, Ministerio de Salud",automatic,false,vigente,establecimiento/comuna,"establecimiento",enlace y geografia de oferta,"catastro mutable no anual; contiene cerrados y fechas incompletas; ubicacion no residencia",https://datos.gob.cl/dataset/establecimientos-de-salud-vigentes
deis_rem20,"DEIS, Ministerio de Salud",automatic,false,actualizacion continua,establecimiento/mes,"establecimiento-area funcional-mes",capacidad y panel continuo,"sin diagnosticos/personas; no es poblacion cubierta; verificar compatibilidad con GRD",https://datos.gob.cl/dataset/indicadores-hospitalarios-rem20
fonasa_aggregates,FONASA,automatic,false,2018-2025,comuna/edad/sexo,"celda agregada de beneficiarios",denominador de cobertura publica,"comuna suele corresponder a inscripcion APS",https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/
fonasa_dictionary,FONASA,automatic,false,vigente,nacional,diccionario,interpretacion de beneficiarios,"confirmar version aplicable",https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/
fonasa_aps_enrollment,FONASA,automatic,false,2019-2025,centro APS/comuna,"persona inscrita agregada",denominador de cobertura REM/APS,"inscripcion no residencia; revisar duplicados y vigencia",https://public.tableau.com/views/ReporteInscritosCentrosAPS/ReporteAPS?:showVizHome=no
fonasa_microdata,FONASA,automatic,true,2018-2025,comuna/edad/sexo,"beneficiario innominado",sensibilidades de denominador,"1.82 GB comprimidos en total para 2018-2025; preferir agregados",https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/
isapre_communal,Superintendencia de Salud,automatic,false,2019-2025,comuna/edad/sexo,"celda agregada de beneficiarios",cobertura privada,"poblacion menos ISAPRE no equivale a cobertura publica",https://www.superdesalud.gob.cl/tax-biblioteca-digital/estadisticas-3724/estadisticas-por-tema-3741/cartera-de-beneficiarios-3742/
ine_population,Instituto Nacional de Estadisticas,automatic,false,2002-2035,comuna/edad/sexo/area,"proyeccion poblacional",denominadores y ruralidad,"base Censo 2017",https://www.ine.gob.cl/estadisticas-por-tema/demografia-y-poblacion/estimaciones-y-proyecciones-de-poblacion
ine_censo2024_population,Instituto Nacional de Estadisticas,automatic,false,2024,comuna/edad quinquenal/sexo,"persona censada",denominador observado y sensibilidad territorial,"no sustituye retrospectivamente la proyeccion base 2017",https://censo2024.ine.gob.cl/estadisticas/
ine_population_base2024_national,Instituto Nacional de Estadisticas,automatic,false,1992-2070,nacional/edad/sexo,"estimacion o proyeccion poblacional",sensibilidad nacional y puente censal,"sin desagregacion comunal equivalente; no mezclar bases silenciosamente",https://www.ine.gob.cl/estadisticas-por-tema/demografia-y-poblacion/estimaciones-y-proyecciones-de-poblacion
censo2024_disability,Instituto Nacional de Estadisticas,automatic,false,2024,territorio censal,"tabulado censal",contexto de discapacidad,"no es especifico de autismo",https://censo2024.ine.gob.cl/estadisticas/
endide_2022,Ministerio de Desarrollo Social y Familia,automatic,false,2022,nacional/region,"persona/hogar encuestado",benchmark poblacional de discapacidad y autismo,"usar diseno complejo; limites de dominio",https://observatorio.ministeriodesarrollosocial.gob.cl/endide-2022
encavi_2023_2024,Ministerio de Salud,automatic,false,2023-2024,nacional/region,"persona de 15+ encuestada",benchmark adulto de diagnostico informado,"no equivale a codigo administrativo",https://datos.gob.cl/dataset/encavi-2023-24
mineduc_pie_reports,Ministerio de Educacion,automatic,false,2019-2025,nacional/sector,"tabla agregada publicada",triangulacion educativa,"no son microdatos; TEA estricto y TEA+Asperger requieren reglas diferentes",https://bibliotecadigital.mineduc.cl/
junaeb_eve_metadata,JUNAEB,automatic,false,2019-2025,nivel escolar,"cuestionario/diccionario",validar variable y cambios EVE,"cuestionarios todos los anos; diccionarios solo 2019 2021 2024 2025; no estima prevalencia",https://bibliotecadatos.sead.junaeb.cl/
junaeb_eve_microdata,JUNAEB,automatic,true,2019-2025,nivel/establecimiento,"estudiante desidentificado",triangulacion escolar,"cobertura selectiva; aproximadamente 9.6 GB",https://bibliotecadatos.sead.junaeb.cl/
sae_poverty_2024,Ministerio de Desarrollo Social y Familia,automatic,false,2024,comuna,"estimacion SAE e intervalo",deprivacion territorial,"incertidumbre de estimacion y falacia ecologica",https://observatorio.ministeriodesarrollosocial.gob.cl/pobreza-comunal-2024
casen_2024,Ministerio de Desarrollo Social y Familia,automatic,true,2024,nacional/region,"persona/hogar encuestado",prevision uso publico y pobreza,"no representativa de cada comuna; 1.6 GB",https://observatorio.ministeriodesarrollosocial.gob.cl/encuesta-casen-2024
