source_id,file,relative_path,bytes,sha256,downloaded_or_version_date,observation_unit,period,population_covered,geography,codes_columns_used,stock_or_flow,possible_denominator,definition_breaks,linkage_restrictions,use_rule,root,artefact_role,provider,source_container,manifest_source,manifest_sha256,sha256_matches_manifest,manifest_bytes,bytes_match_manifest,file_mtime_utc,landing_url
grd_publico,GRD_PUBLICO_2019.csv,GRD/GRD_PUBLICO_2019.csv,572538107,1b86155938fd19cfff3cd41376c72fb0b61ed905b16f987f396793213abaafaa,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2019,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,1b86155938fd19cfff3cd41376c72fb0b61ed905b16f987f396793213abaafaa,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_publico,GRD_PUBLICO_2020.csv,GRD/GRD_PUBLICO_2020.csv,397026770,e5205ff37d45680ea23d9e07536864a50c486eb9c46c84a1b9ebc3098bf0d1b6,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2020,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,e5205ff37d45680ea23d9e07536864a50c486eb9c46c84a1b9ebc3098bf0d1b6,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_publico,GRD_PUBLICO_2021.csv,GRD/GRD_PUBLICO_2021.csv,428657870,9b1506bc327b05b0d31976fbece548d6d3f4c92dddecd48a39bb30ec21d35dcf,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2021,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,9b1506bc327b05b0d31976fbece548d6d3f4c92dddecd48a39bb30ec21d35dcf,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_publico,GRD_PUBLICO_2022.csv,GRD/GRD_PUBLICO_2022.csv,484759208,dc0f5a2bf258258cf01a0eb6342fd17ed86ab3d37f7b4ce7abab2fe4829bedb7,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2022,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,dc0f5a2bf258258cf01a0eb6342fd17ed86ab3d37f7b4ce7abab2fe4829bedb7,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_publico,GRD_PUBLICO_2023.csv,GRD/GRD_PUBLICO_2023.csv,542631171,191cc389cf65bd3b6018ad8d9e166e1c5c32c4e9b9a524423364fc2c27cdf0b5,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2023,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,191cc389cf65bd3b6018ad8d9e166e1c5c32c4e9b9a524423364fc2c27cdf0b5,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_publico,GRD_PUBLICO_2024.csv,GRD/GRD_PUBLICO_2024.csv,571293858,e3b587da0ea5752f6d522b395d70d848e3cc04685755cebd542826eb500d7c8a,2026-09-01 (SOURCES_MANIFEST.md consolidation date); file mtime 2025-09-29,GRD episode (one row per financed/coded hospital episode: hospitalisation or major ambulatory surgery),2024,"Episodes of public hospitals reporting to the FONASA GRD dataset; observed panel of 65 hospitals in 2019-2022, 68 in 2023 and 72 in 2024 (not a fixed panel of 72)","Hospital of care (COD_HOSPITAL, SERVICIO_SALUD); patient's reported COMUNA/PROVINCIA of residence (place of care and residence must not be mixed)","sep='|'; DIAGNOSTICO1..DIAGNOSTICO35 (ICD-10; F84 family per config.F84_SUBCODES, F84.2 Rett excluded in variant sin_rett), TIPO_ACTIVIDAD, COD_HOSPITAL, SEXO, FECHA_NACIMIENTO, FECHA_INGRESO, FECHAALTA, COMUNA, PREVISION; identifier CIP_ENCRIPTADO (2019-2023) / ID_BENEFICIARIO (2024)",flow (episodes discharged in the year),"All GRD episodes of the same year and hospital panel (per 100,000 episodes); INE base-2017 population by age and sex for complementary population rates","Encrypted identifier changes format between 2020 and 2021 (zero overlap); hospital panel 65/65/65/65/68/72; mean coding depth rises from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 contains day-hospital and emergency activity categories absent from 2020; GRD_PUBLICO_2022.csv omits one malformed source row (932,839 vs 932,840 records; see GRD/metadata/SOURCES_MANIFEST.md)","Unique persons only within each year; never deduplicate across 2020/2021; no person-level linkage to REM, DEIS, FONASA, surveys or education","Primary hospital estimand: GRD episodes with documented F84 in any diagnosis position per 100,000 GRD episodes; F84 principal, strict hospitalisation vs major ambulatory surgery, fixed panel of 65 hospitals and coding-depth stratification are mandatory sensitivities; never label as 'hospitalisations for autism', prevalence or incidence; reproduce config.CONTROLS['grd_*'] before modelling",ASESORIAS_DATA_ROOT,data,FONASA,,GRD/metadata/SOURCES_MANIFEST.md,e3b587da0ea5752f6d522b395d70d848e3cc04685755cebd542826eb500d7c8a,True,,not_listed,2025-09-29,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_dictionaries,CIE-10.xlsx,GRD/metadata/official/CIE-10.xlsx,1680916,c2268cfdcae65a4b79943e88f80fc22f42cd565a67004c6e7f2f04691d89e1c7,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019-2024,not applicable (metadata),not applicable,ICD-10 F84 family labels; TIPO_ACTIVIDAD and hospital master tables,not applicable (dictionary),not applicable,Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,ASESORIAS_DATA_ROOT,dictionary,FONASA,,Autism/metadata/download_manifest.csv,c2268cfdcae65a4b79943e88f80fc22f42cd565a67004c6e7f2f04691d89e1c7,True,1680916,True,2026-09-04,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_dictionaries,CIE-9_MC.xlsx,GRD/metadata/official/CIE-9_MC.xlsx,182615,77ca671804dc3cce37dbb0ec1fb0e2640d71e1b3cba07dd638e1a53eb489afc2,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019-2024,not applicable (metadata),not applicable,ICD-10 F84 family labels; TIPO_ACTIVIDAD and hospital master tables,not applicable (dictionary),not applicable,Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,ASESORIAS_DATA_ROOT,dictionary,FONASA,,Autism/metadata/download_manifest.csv,77ca671804dc3cce37dbb0ec1fb0e2640d71e1b3cba07dd638e1a53eb489afc2,True,182615,True,2026-09-04,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_dictionaries,tablas_maestras_bases_GRD.xlsx,GRD/metadata/official/tablas_maestras_bases_GRD.xlsx,54710,29da22ac27a79a5f3d62e0b97fcff79dcaf1f19908dcf517a7e6bb88f216bd8a,2026-09-04 (download_manifest.csv downloaded_at_utc),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",versions published with GRD 2019-2024,not applicable (metadata),not applicable,ICD-10 F84 family labels; TIPO_ACTIVIDAD and hospital master tables,not applicable (dictionary),not applicable,Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,ASESORIAS_DATA_ROOT,dictionary,FONASA,,Autism/metadata/download_manifest.csv,29da22ac27a79a5f3d62e0b97fcff79dcaf1f19908dcf517a7e6bb88f216bd8a,True,54710,True,2026-09-04,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
grd_dictionaries,códigos grd.xlsx,GRD/metadata/códigos grd.xlsx,54065,66bb84d33d01657ff2a47f2b4b53145eae87ed1fedf938d4a339628f90fb6fdb,2024-02-28 (file mtime; not dated in any manifest),"Code dictionary / master table (ICD-10, ICD-9-CM procedures, GRD master tables)",local codebook used by scripts/grd_epidemiology.py,not applicable (metadata),not applicable,ICD-10 F84 family labels; TIPO_ACTIVIDAD and hospital master tables,not applicable (dictionary),not applicable,Verify the version applicable to each GRD year (source_registry.csv),not applicable,Interpretation of GRD codes and categories only; never a data input,ASESORIAS_DATA_ROOT,dictionary,FONASA,,,,not_listed,,not_listed,2024-02-28,https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD?:showVizHome=no
